Een dinsdag	Un mardi	A Tuesday	Ein Dienstag	Un martes
Een distributieriem, een koppeling, een grote beurt. Precies de klussen met de meeste omzet zijn ook de klussen waarbij de klant een dag zonder auto zit. Die drempel is voor veel mensen groter dan het bedrag.	Une courroie de distribution, un embrayage, un grand entretien. Les interventions les plus rentables sont précisément celles où le client reste une journée sans voiture. Pour beaucoup, ce frein pèse plus lourd que le montant.	A timing belt, a clutch, a major service. The jobs with the most turnover are exactly the jobs where the customer is without a car for a day. For many people that barrier weighs more than the amount.	Ein Zahnriemen, eine Kupplung, eine große Inspektion. Genau die Arbeiten mit dem meisten Umsatz sind auch die, bei denen der Kunde einen Tag ohne Auto dasteht. Diese Hürde wiegt für viele schwerer als der Betrag.	Una correa de distribución, un embrague, una revisión grande. Precisamente los trabajos con más facturación son aquellos en los que el cliente se queda un día sin coche. Para mucha gente esa barrera pesa más que el importe.
Een eenmalige export van je klantenbestand als startpunt	Un export unique de votre fichier clients comme point de départ	A one-off export of your customer records as a starting point	Ein einmaliger Export Ihrer Kundendatei als Ausgangspunkt	Una exportación única de tu fichero de clientes como punto de partida
Een eenmalige export van je klantenbestand is vaak genoeg om te beginnen. Dat is geen koppeling, maar het werkt wel vandaag.	Un export unique de votre fichier clients suffit souvent pour démarrer. Ce n'est pas une intégration, mais cela fonctionne dès aujourd'hui.	A one-off export of your customer records is often enough to start. That is not an integration, but it does work today.	Ein einmaliger Export Ihrer Kundendatei reicht oft zum Start. Das ist keine Anbindung, aber es funktioniert heute.	Una exportación única de tu fichero de clientes suele bastar para empezar. No es una integración, pero funciona hoy.
Een eerlijk "pas dinsdag leverbaar" is beter dan stilte. Dan kan de klant zelf kiezen of hij wacht of niet.	Un honnête « livrable seulement mardi » vaut mieux que le silence. Le client peut alors choisir lui-même s'il attend ou non.	An honest "not available until Tuesday" beats silence. The customer can then decide for himself whether to wait.	Ein ehrliches „erst Dienstag lieferbar" ist besser als Schweigen. Dann kann der Kunde selbst entscheiden, ob er wartet.	Un honesto «no está disponible hasta el martes» es mejor que el silencio. Así el cliente decide él mismo si espera.
Een garage heeft geen één kanaal, hij heeft er vier. De telefoon rinkelt, er komt een WhatsApp-bericht binnen, het formulier op de site stuurt een mail en iemand loopt gewoon de balie op. Die eerste drie komen bij Helvaro samen in één stroom, met één geschiedenis per klant.	Un garage n'a pas un seul canal, il en a quatre. Le téléphone sonne, un message WhatsApp arrive, le formulaire du site envoie un mail et quelqu'un se présente tout simplement au comptoir. Chez Helvaro, les trois premiers se rejoignent dans un seul flux, avec un seul historique par client.	A garage does not have one channel, it has four. The phone rings, a WhatsApp message comes in, the form on the site sends an email and someone simply walks up to the counter. The first three come together at Helvaro in one stream, with one history per customer.	Eine Werkstatt hat nicht einen Kanal, sie hat vier. Das Telefon klingelt, eine WhatsApp-Nachricht kommt herein, das Formular auf der Website schickt eine Mail und jemand steht einfach am Tresen. Die ersten drei laufen bei Helvaro in einem Strom zusammen, mit einer Historie pro Kunde.	Un taller no tiene un canal, tiene cuatro. Suena el teléfono, entra un mensaje de WhatsApp, el formulario de la web envía un correo y alguien simplemente se planta en el mostrador. Los tres primeros confluyen en Helvaro en un solo flujo, con un solo historial por cliente.
Een geboekt tijdslot is pas werk als er een werkorder aan hangt. Deze koppeling staat op de lijst, er ligt nog geen regel code, en dat zeggen we liever nu dan tijdens een demo.	Un créneau réservé ne devient du travail que s'il est rattaché à un ordre de travail. Cette intégration est sur la liste, il n'existe pas encore une ligne de code, et nous préférons le dire maintenant plutôt que pendant une démo.	A booked slot only becomes work once there is a work order attached to it. This integration is on the list, there is not a line of code yet, and we would rather say so now than during a demo.	Ein gebuchtes Zeitfenster ist erst dann Arbeit, wenn ein Arbeitsauftrag daran hängt. Diese Anbindung steht auf der Liste, es gibt noch keine Zeile Code, und das sagen wir lieber jetzt als während einer Demo.	Una franja reservada solo es trabajo si lleva una orden de trabajo asociada. Esta integración está en la lista, aún no hay una línea de código, y preferimos decirlo ahora y no durante una demo.
Een geboekte afspraak is nog geen auto op de brug. Deze werkstroom zit vast aan alles wat de andere negen inplannen.	Un rendez-vous réservé n'est pas encore une voiture sur le pont. Ce flux est rattaché à tout ce que les neuf autres planifient.	A booked appointment is not yet a car on the ramp. This workflow is attached to everything the other nine schedule.	Ein gebuchter Termin ist noch kein Auto auf der Hebebühne. Dieser Ablauf hängt an allem, was die anderen neun einplanen.	Una cita reservada todavía no es un coche en el elevador. Este flujo está unido a todo lo que planifican los otros nueve.
Een gesprek dat eindigt met "bel ons even" heeft niets opgelost, het heeft het werk verplaatst naar de klant. Helvaro stelt een tijdslot voor, zet het vast, bevestigt het en herinnert eraan. Blijft het stil na een offerte, dan komt er nog een bericht, en daarna nog één, en daarna stopt het.	Une conversation qui se termine par « rappelez-nous » n'a rien résolu, elle a déplacé le travail vers le client. Helvaro propose un créneau, le fixe, le confirme et le rappelle. Si le silence suit un devis, un message arrive encore, puis un autre, et ensuite cela s'arrête.	A conversation that ends with "give us a ring" has solved nothing, it has moved the work onto the customer. Helvaro proposes a slot, books it, confirms it and reminds about it. If it stays quiet after a quote, another message follows, and one more, and then it stops.	Ein Gespräch, das mit „rufen Sie uns mal an" endet, hat nichts gelöst, es hat die Arbeit zum Kunden verschoben. Helvaro schlägt ein Zeitfenster vor, hält es fest, bestätigt es und erinnert daran. Bleibt es nach einem Angebot still, kommt noch eine Nachricht und danach noch eine, und dann hört es auf.	Una conversación que acaba con «llámenos» no ha resuelto nada, ha trasladado el trabajo al cliente. Helvaro propone una franja, la fija, la confirma y la recuerda. Si tras un presupuesto se hace el silencio, llega otro mensaje, y luego uno más, y después se para.
Een gesprek dat hier uitkomt.	Une conversation qui en découle.	A conversation that comes out of this.	Ein Gespräch, das dabei herauskommt.	Una conversación que sale de aquí.
Een getal waar je er geen had	Un chiffre là où vous n'en aviez aucun	A number where you had none	Eine Zahl, wo Sie keine hatten	Una cifra donde no tenías ninguna
Een halfuur per week	Une demi-heure par semaine	Half an hour a week	Eine halbe Stunde pro Woche	Media hora a la semana
Een ja wordt meteen een afspraak in de planning.	Un oui devient immédiatement un rendez-vous dans le planning.	A yes immediately becomes an appointment in the planning.	Ein Ja wird sofort zu einem Termin in der Planung.	Un sí se convierte enseguida en una cita en el planning.
Een kenteken is genoeg om te weten over welke auto het gaat, hoe oud hij is en wanneer de APK verloopt. Daarna is duidelijk of dit een keuring is, een reparatie, een onderhoudsbeurt of een prijsvraag. De klant hoeft niets uit te leggen dat jij al weet.	Une plaque suffit à savoir de quelle voiture il s'agit, quel âge elle a et quand le contrôle technique expire. Ensuite, il est clair s'il s'agit d'un contrôle, d'une réparation, d'un entretien ou d'une demande de prix. Le client n'a rien à expliquer que vous sachiez déjà.	A registration is enough to know which car it is, how old it is and when the MOT expires. After that it is clear whether this is an inspection, a repair, a service or a price enquiry. The customer has nothing to explain that you already know.	Ein Kennzeichen genügt, um zu wissen, um welches Auto es geht, wie alt es ist und wann die HU abläuft. Danach ist klar, ob das eine Untersuchung, eine Reparatur, eine Inspektion oder eine Preisanfrage ist. Der Kunde muss nichts erklären, was Sie schon wissen.	Una matrícula basta para saber de qué coche se trata, qué edad tiene y cuándo caduca la ITV. Después queda claro si es una inspección, una reparación, una revisión o una consulta de precio. El cliente no tiene que explicar nada que tú ya sepas.
Een keuring die elders gebeurt, neemt de reparaties die eruit komen mee.	Un contrôle effectué ailleurs emporte avec lui les réparations qui en découlent.	An inspection done elsewhere takes the repairs that come out of it with it.	Eine Untersuchung, die woanders stattfindet, nimmt die Reparaturen mit, die dabei herauskommen.	Una inspección hecha en otro sitio se lleva con ella las reparaciones que salgan.
