# nederlands	frans	engels	duits	spaans
"Bijgevoegd de foto's van mijn Audi A4."	« Ci-joint les photos de mon Audi A4. »	"Attached are the photos of my Audi A4."	„Anbei die Fotos meines Audi A4."	«Adjunto las fotos de mi Audi A4.»
"Ik ben geïnteresseerd in die BMW X5."	« Je suis intéressé par ce BMW X5. »	"I'm interested in that BMW X5."	„Ich interessiere mich für diesen BMW X5."	«Me interesa ese BMW X5.»
"Ik denk er nog even over na" is geen nee. Het is het moment waarop bijna elk autobedrijf ophoudt, omdat opvolgen aan iemands geheugen hangt en dat geheugen andere dingen te doen heeft.	« Je vais y réfléchir » n'est pas un non. C'est le moment où presque toutes les concessions s'arrêtent, parce que le suivi repose sur la mémoire de quelqu'un et que cette mémoire a d'autres choses à faire.	"I'll think about it" is not a no. It is the point where nearly every dealership stops, because following up hangs on someone's memory and that memory has other things to do.	„Ich denke noch darüber nach" ist kein Nein. Es ist der Moment, an dem fast jedes Autohaus aufhört, weil das Nachfassen an jemandes Gedächtnis hängt und dieses Gedächtnis anderes zu tun hat.	«Me lo voy a pensar» no es un no. Es el punto donde casi todos los concesionarios se paran, porque el seguimiento depende de la memoria de alguien y esa memoria tiene otras cosas que hacer.
"Ik denk er nog even over na." Drie dagen later weet niemand meer wie dat was, over welke auto het ging en wat er is afgesproken.	« Je vais y réfléchir. » Trois jours plus tard, personne ne sait plus qui c'était, de quelle voiture il s'agissait ni ce qui avait été convenu.	"I'll think about it." Three days later nobody remembers who that was, which car it was about, or what was agreed.	„Ich denke noch darüber nach." Drei Tage später weiß niemand mehr, wer das war, um welches Auto es ging und was vereinbart wurde.	«Me lo voy a pensar.» Tres días después nadie recuerda quién era, de qué coche se trataba ni qué se acordó.
"Ik denk er nog over na" is geen eindpunt. Er volgt een bericht, op een moment dat jij bepaalt, met de auto en het gesprek erbij.	« Je vais y réfléchir » n'est pas un point final. Un message suit, au moment que vous choisissez, avec la voiture et la conversation.	"I'll think about it" is not an end point. A message follows, at a moment you decide, with the car and the conversation attached.	„Ich denke noch darüber nach" ist kein Schlusspunkt. Es folgt eine Nachricht, zu einem Zeitpunkt, den Sie bestimmen, mit dem Auto und dem Gespräch dabei.	«Me lo voy a pensar» no es un punto final. Llega un mensaje, en el momento que tú decides, con el coche y la conversación incluidos.
"Kan ik zaterdag komen kijken?"	« Puis-je venir voir samedi ? »	"Can I come and see it on Saturday?"	„Kann ich am Samstag vorbeikommen?"	«¿Puedo pasar a verlo el sábado?»
"Wat is mijn auto waard?"	« Combien vaut ma voiture ? »	"What is my car worth?"	„Was ist mein Auto wert?"	«¿Cuánto vale mi coche?»
"Wat kost dat per maand" is een koopsignaal. Het wordt uitgelegd en doorgegeven, niet afgewimpeld en niet beloofd.	« Ça coûte combien par mois » est un signal d'achat. On l'explique et on le transmet, sans l'écarter et sans rien promettre.	"What does that cost per month" is a buying signal. It gets explained and passed on, not brushed aside and not promised.	„Was kostet das im Monat" ist ein Kaufsignal. Es wird erklärt und weitergegeben, nicht abgewimmelt und nicht versprochen.	«¿Cuánto cuesta al mes?» es una señal de compra. Se explica y se traslada, no se despacha ni se promete nada.
"Wat kost dat per maand" is het duidelijkste koopsignaal dat er is. Als daar een dag overheen gaat, is het meestal geen signaal meer.	« Ça coûte combien par mois » est le signal d'achat le plus clair qui soit. Si une journée passe, ce n'est généralement plus un signal.	"What does that cost per month" is the clearest buying signal there is. Let a day pass over it and it is usually no longer a signal.	„Was kostet das im Monat" ist das deutlichste Kaufsignal überhaupt. Geht darüber ein Tag ins Land, ist es meist kein Signal mehr.	«¿Cuánto cuesta al mes?» es la señal de compra más clara que existe. Si pasa un día, normalmente ya no es una señal.
"Wat kost dat per maand?"	« Ça coûte combien par mois ? »	"What does that cost per month?"	„Was kostet das im Monat?"	«¿Cuánto cuesta al mes?»
, inclusief wat er nog niet is.	, y compris ce qui n'existe pas encore.	, including what is not there yet.	, einschließlich dessen, was es noch nicht gibt.	, incluido lo que todavía no existe.
