# Paginatitels en meta-omschrijvingen. De titel valt via build-langs.pl terug
# op dit woordenboek wanneer hij niet in TITLES van i18n.js staat.
Meer werkplaatsafspraken uit je klantcontact · Helvaro	Plus de rendez-vous atelier à partir de vos contacts clients · Helvaro	More workshop appointments from the customer contact you already have · Helvaro	Mehr Werkstatttermine aus Ihrem bestehenden Kundenkontakt · Helvaro	Más citas de taller a partir del contacto de cliente que ya tienes · Helvaro
Helvaro is het systeem dat klantcontact omzet in werkplaatsafspraken. Het vangt elk gesprek op, herkent de auto achter het kenteken, plant de afspraak in en volgt op. Voor onafhankelijke garages en werkplaatsen.	Helvaro est le système qui transforme le contact client en rendez-vous d'atelier. Il capte chaque conversation, reconnaît la voiture derrière la plaque, planifie le rendez-vous et relance. Pour les garages et ateliers indépendants.	Helvaro is the system that turns customer contact into workshop appointments. It captures every conversation, recognises the car behind the registration, books the appointment and follows up. For independent garages and workshops.	Helvaro ist das System, das Kundenkontakt in Werkstatttermine verwandelt. Es fängt jedes Gespräch auf, erkennt das Auto hinter dem Kennzeichen, plant den Termin ein und fasst nach. Für freie Werkstätten und Autobetriebe.	Helvaro es el sistema que convierte el contacto con el cliente en citas de taller. Recoge cada conversación, reconoce el coche detrás de la matrícula, programa la cita y hace seguimiento. Para talleres y garajes independientes.
Het Helvaro-systeem: van klantcontact naar werkplaatsafspraak · Helvaro	Le système Helvaro : du contact client au rendez-vous d'atelier · Helvaro	The Helvaro system: from customer contact to workshop appointment · Helvaro	Das Helvaro-System: vom Kundenkontakt zum Werkstatttermin · Helvaro	El sistema Helvaro: del contacto con el cliente a la cita de taller · Helvaro
Vijf lagen: opvangen, begrijpen, handelen, koppelen en meten. Zo wordt binnenkomend klantcontact een afspraak in je werkplaatsplanning.	Cinq couches : capter, comprendre, agir, connecter et mesurer. C'est ainsi qu'un contact client entrant devient un rendez-vous dans votre planning d'atelier.	Five layers: capture, understand, act, connect and measure. That is how incoming customer contact becomes an appointment in your workshop planning.	Fünf Schichten: auffangen, verstehen, handeln, verbinden und messen. So wird eingehender Kundenkontakt zu einem Termin in Ihrer Werkstattplanung.	Cinco capas: recoger, entender, actuar, conectar y medir. Así el contacto entrante del cliente se convierte en una cita en tu planning de taller.
AI voor autobedrijven: meer werkplaatsafspraken uit je klantcontact · Helvaro	IA pour garages : plus de rendez-vous atelier à partir de vos contacts clients · Helvaro	AI for garages: more workshop appointments from your customer contact · Helvaro	KI für Autobetriebe: mehr Werkstatttermine aus Ihrem Kundenkontakt · Helvaro	IA para talleres: más citas de taller a partir de tu contacto con el cliente · Helvaro
Voor onafhankelijke garages en universele werkplaatsen. Gemiste gesprekken, APK, offertes en no-shows worden werkstromen in plaats van losse ergernissen.	Pour les garages indépendants et les ateliers multimarques. Appels manqués, contrôle technique, devis et rendez-vous manqués deviennent des flux de travail au lieu d'agacements isolés.	For independent and all-makes workshops. Missed calls, MOT, quotes and no-shows become workflows instead of separate irritations.	Für freie und markenoffene Werkstätten. Verpasste Anrufe, HU, Angebote und No-Shows werden zu Arbeitsabläufen statt zu einzelnen Ärgernissen.	Para talleres independientes y multimarca. Llamadas perdidas, ITV, presupuestos y ausencias se convierten en flujos de trabajo en vez de en fastidios sueltos.
Omzetcalculator: wat lekt er weg in je werkplaats? · Helvaro	Calculateur de chiffre d'affaires : que perdez-vous dans votre atelier ? · Helvaro	Turnover calculator: what is leaking away in your workshop? · Helvaro	Umsatzrechner: was versickert in Ihrer Werkstatt? · Helvaro	Calculadora de facturación: ¿qué se escapa en tu taller? · Helvaro
Vul vier cijfers in over je eigen werkplaats en zie een schatting van de omzet die blijft liggen door gemiste gesprekken. Geen e-mailadres nodig.	Saisissez quatre chiffres sur votre propre atelier et voyez une estimation du chiffre d'affaires perdu à cause des appels manqués. Aucune adresse e-mail requise.	Enter four figures about your own workshop and see an estimate of the turnover left lying because of missed conversations. No email address needed.	Tragen Sie vier Zahlen zu Ihrer eigenen Werkstatt ein und sehen Sie eine Schätzung des Umsatzes, der durch verpasste Gespräche liegen bleibt. Keine E-Mail-Adresse nötig.	Introduce cuatro cifras sobre tu propio taller y ve una estimación de la facturación que se queda sin hacer por conversaciones perdidas. No hace falta correo electrónico.
Cijfers en pilot: wat we meten en wat we nog niet bewijzen · Helvaro	Chiffres et pilote : ce que nous mesurons et ce que nous ne prouvons pas encore · Helvaro	Numbers and pilot: what we measure and what we cannot yet prove · Helvaro	Zahlen und Pilot: was wir messen und was wir noch nicht beweisen · Helvaro	Cifras y piloto: qué medimos y qué todavía no demostramos · Helvaro
We hebben nog geen gemeten resultaat in een werkplaats, en verzinnen er ook geen. Dit is wat we meten en hoe de pilot eruitziet.	Nous n'avons pas encore de résultat mesuré dans un atelier, et nous n'en inventons pas. Voici ce que nous mesurons et à quoi ressemble le pilote.	We do not yet have a measured result in a workshop, and we are not inventing one. This is what we measure and what the pilot looks like.	Wir haben noch kein gemessenes Ergebnis in einer Werkstatt, und wir erfinden auch keines. Das ist, was wir messen und wie der Pilot aussieht.	Todavía no tenemos un resultado medido en un taller, y tampoco nos lo inventamos. Esto es lo que medimos y cómo es el piloto.
De tien agents van het Helvaro-systeem · Helvaro	Les dix agents du système Helvaro · Helvaro	The ten agents of the Helvaro system · Helvaro	Die zehn Agents des Helvaro-Systems · Helvaro	Los diez agentes del sistema Helvaro · Helvaro
