# nederlands	frans	engels	duits	spaans
Aanvraag	Demande	Enquiry	Anfrage	Solicitud
Ander kanaal.	Autre canal.	Different channel.	Anderer Kanal.	Otro canal.
Antwoord	Réponse	Response	Antwort	Respuesta
Antwoord met de gegevens uit je voorraad	Une réponse avec les données de votre stock	An answer with the data from your stock	Eine Antwort mit den Daten aus Ihrem Bestand	Una respuesta con los datos de tu stock
Beantwoord met de gegevens erbij	Traité avec les données à l'appui	Answered with the data attached	Beantwortet mit den Daten dabei	Respondido con los datos incluidos
Contact vragen pas bij echte koopinteresse	Demander les coordonnées seulement en cas d'intérêt d'achat réel	Asking for contact details only on genuine buying interest	Kontaktdaten erst bei echtem Kaufinteresse erfragen	Pedir el contacto solo si hay interés de compra real
Daarna neemt je verkoper over, met alles wat er gezegd is binnen handbereik.	Ensuite, votre vendeur prend le relais, avec tout ce qui a été dit sous la main.	After that your salesperson takes over, with everything that was said within reach.	Danach übernimmt Ihr Verkäufer, mit allem Gesagten griffbereit.	Después tu vendedor toma el relevo, con todo lo dicho a mano.
De inruil wordt opgepakt in plaats van genegeerd	La reprise est prise en charge au lieu d'être ignorée	The trade-in gets picked up instead of ignored	Die Inzahlungnahme wird aufgegriffen statt ignoriert	La entrega se recoge en lugar de ignorarse
De vraag over financiering loopt niet dood	La question du financement ne meurt pas	The financing question does not die	Die Finanzierungsfrage verendet nicht	La pregunta de financiación no muere
Drie kanalen	Trois canaux	Three channels	Drei Kanäle	Tres canales
Een moment voorstellen in plaats van terugbellen	Proposer un créneau au lieu de rappeler	Proposing a slot instead of calling back	Einen Termin vorschlagen statt zurückzurufen	Proponer un hueco en lugar de devolver la llamada
Elke aanvraag krijgt een antwoord.	Chaque demande reçoit une réponse.	Every enquiry gets an answer.	Jede Anfrage bekommt eine Antwort.	Cada solicitud recibe respuesta.
Eén script op je bestaande site	Un seul script sur votre site existant	One script on your existing site	Ein Skript auf Ihrer bestehenden Website	Un script en tu web actual
Eén systeem	Un seul système	One system	Ein System	Un solo sistema
Gelezen en gekoppeld aan een wagen	Lu et rattaché à un véhicule	Read and linked to a vehicle	Gelesen und einem Fahrzeug zugeordnet	Leído y vinculado a un vehículo
Het gesprek gaat over de wagen op de pagina waar hij staat. Hij hoeft niet uit te leggen welke auto hij bedoelt, en jij hoeft niet te wachten tot hij een formulier invult.	La conversation porte sur le véhicule de la page où il se trouve. Il n'a pas à expliquer de quelle voiture il parle, et vous n'avez pas à attendre qu'il remplisse un formulaire.	The conversation is about the vehicle on the page they are on. They do not have to explain which car they mean, and you do not have to wait for them to fill in a form.	Das Gespräch dreht sich um das Fahrzeug auf der Seite, auf der er steht. Er muss nicht erklären, welches Auto er meint, und Sie müssen nicht warten, bis er ein Formular ausfüllt.	La conversación va del vehículo de la página en la que está. No tiene que explicar de qué coche habla, y tú no tienes que esperar a que rellene un formulario.
Het maakt niet uit waar hij binnenkomt. Daarachter loopt elke keer dezelfde route, met hetzelfde dossier en dezelfde wagen eraan vast.	Peu importe par où il arrive. Derrière, c'est chaque fois le même parcours, avec le même dossier et le même véhicule rattaché.	It does not matter where they come in. Behind it runs the same route every time, with the same file and the same vehicle attached.	Es spielt keine Rolle, wo er hereinkommt. Dahinter läuft jedes Mal derselbe Weg, mit derselben Akte und demselben Fahrzeug daran.	Da igual por dónde entre. Detrás corre cada vez la misma ruta, con el mismo expediente y el mismo vehículo unido.
In de algemene mailbox komt alles binnen. Daar zakt de langste en vaak serieuste aanvraag weg tussen facturen en reclame, terwijl de inruil er al in staat.	Tout arrive dans la boîte générale. C'est là que la demande la plus longue et souvent la plus sérieuse sombre entre les factures et la publicité, alors que la reprise y figure déjà.	Everything arrives in the general mailbox. That is where the longest and often most serious enquiry sinks between invoices and advertising, while the trade-in is already in it.	Im allgemeinen Postfach kommt alles an. Dort versinkt die längste und oft ernsteste Anfrage zwischen Rechnungen und Werbung, obwohl die Inzahlungnahme schon drinsteht.	En el buzón general entra de todo. Ahí es donde se hunde la solicitud más larga y a menudo más seria entre facturas y publicidad, aunque ya lleve la entrega dentro.
Laat een aanvraag niet wachten.	Ne laissez pas une demande attendre.	Do not leave an enquiry waiting.	Lassen Sie eine Anfrage nicht warten.	No dejes una solicitud esperando.
Meteen reageren, de vraag beantwoorden en uitvragen wat je verkoper nodig heeft, terwijl het gesprek nog loopt. Ook om kwart voor tien 's avonds.	Répondre tout de suite, traiter la question et recueillir ce dont votre vendeur a besoin, pendant que la conversation est encore en cours. Même à vingt-deux heures moins le quart.	Replying straight away, answering the question and collecting what your salesperson needs, while the conversation is still running. Also at a quarter to ten in the evening.	Sofort reagieren, die Frage beantworten und abfragen, was Ihr Verkäufer braucht, solange das Gespräch noch läuft. Auch um viertel vor zehn abends.	Responder al momento, atender la pregunta y recoger lo que tu vendedor necesita, mientras la conversación sigue viva. También a las diez menos cuarto de la noche.
Scroll mee. Het toestel blijft staan, het kanaal verandert. Dezelfde koper, dezelfde wagen, hetzelfde systeem eronder.	Faites défiler. L'appareil reste en place, le canal change. Même acheteur, même véhicule, même système en dessous.	Scroll along. The device stays put, the channel changes. Same buyer, same vehicle, same system underneath.	Scrollen Sie mit. Das Gerät bleibt stehen, der Kanal wechselt. Derselbe Käufer, dasselbe Fahrzeug, dasselbe System darunter.	Haz scroll. El dispositivo se queda quieto, el canal cambia. El mismo comprador, el mismo vehículo, el mismo sistema debajo.
Van bezoeker naar gesprek.	Du visiteur à la conversation.	From visitor to conversation.	Vom Besucher zum Gespräch.	De visitante a conversación.
Zelfde systeem.	Même système.	Same system.	Dasselbe System.	El mismo sistema.
Zo gaat hij verder.	Voilà comment il continue.	This is how they carry on.	So macht er weiter.	Así continúa.
Zo komt een koper binnen.	Voilà comment un acheteur arrive.	This is how a buyer comes in.	So kommt ein Käufer herein.	Así entra un comprador.
