# nederlands	frans	engels	duits	spaans
Dan weet je dat die wagen weer vrij is voor iemand anders en stop je met erop rekenen.	Vous savez alors que ce véhicule est de nouveau libre pour quelqu'un d'autre et vous cessez de compter dessus.	Then you know that vehicle is free again for someone else and you stop counting on it.	Dann wissen Sie, dass dieses Fahrzeug wieder für jemand anderen frei ist, und rechnen nicht mehr damit.	Así sabes que ese vehículo vuelve a estar libre para otra persona y dejas de contar con él.
Dan worden er geen tijden voorgesteld. De voorkeur van de koper wordt opgehaald en doorgegeven aan je verkoper.	Alors aucun horaire n'est proposé. La préférence de l'acheteur est recueillie et transmise à votre vendeur.	Then no times are proposed. The buyer's preference is collected and passed to your salesperson.	Dann werden keine Zeiten vorgeschlagen. Die Wunschzeit des Käufers wird aufgenommen und an Ihren Verkäufer weitergegeben.	Entonces no se proponen horas. Se recoge la preferencia del comprador y se pasa a tu vendedor.
Dan wordt hij niet meer aangeboden. In plaats daarvan komen er wagens uit je voorraad die er wel staan en die bij dezelfde vraag passen, met het verschil erbij uitgelegd.	Alors il n'est plus proposé. À la place viennent des véhicules de votre stock qui, eux, sont présents et correspondent à la même demande, avec la différence expliquée.	Then it is no longer offered. Instead come vehicles from your stock that are actually there and fit the same question, with the difference explained.	Dann wird es nicht mehr angeboten. Stattdessen kommen Fahrzeuge aus Ihrem Bestand, die wirklich da sind und zur selben Frage passen, mit erklärtem Unterschied.	Entonces deja de ofrecerse. En su lugar salen vehículos de tu stock que sí están y encajan con la misma pregunta, con la diferencia explicada.
Dan zegt het systeem dat het dat niet weet en geeft het de vraag door aan een verkoper. Het vult niets in.	Alors le système dit qu'il ne le sait pas et transmet la question à un vendeur. Il n'invente rien.	Then the system says it does not know and passes the question to a salesperson. It fills nothing in.	Dann sagt das System, dass es das nicht weiß, und gibt die Frage an einen Verkäufer weiter. Es füllt nichts aus.	Entonces el sistema dice que no lo sabe y pasa la pregunta a un vendedor. No rellena nada.
Dat de vraag over financiering gaat, en over welke wagen.	Que la demande porte sur un financement, et sur quel véhicule.	That the question is about financing, and about which vehicle.	Dass es bei der Frage um Finanzierung geht, und um welches Fahrzeug.	Que la pregunta va de financiación, y de qué vehículo.
Dat een koppeling af is voor hij bij een autobedrijf werkt	Qu'une intégration est terminée avant qu'elle ne fonctionne chez une concession	That an integration is finished before it works at a dealership	Dass eine Anbindung fertig ist, bevor sie bei einem Autohaus läuft	Que una integración está terminada antes de que funcione en un concesionario
Dat er nooit een fout gemaakt wordt	Qu'aucune erreur n'est jamais commise	That a mistake is never made	Dass nie ein Fehler passiert	Que nunca se comete un error
Dat hangt af van de looptijd, je eigen inbreng en of je iets inruilt. Onze verkoper rekent dat voor je uit. Denk je aan 36, 48 of 60 maanden?	Cela dépend de la durée, de votre apport et d'une éventuelle reprise. Notre vendeur vous le calcule. Vous pensez à 36, 48 ou 60 mois ?	That depends on the term, your own contribution and whether you trade something in. Our salesperson will work it out for you. Are you thinking 36, 48 or 60 months?	Das hängt von der Laufzeit, Ihrer Anzahlung und einer möglichen Inzahlungnahme ab. Unser Verkäufer rechnet Ihnen das aus. Denken Sie an 36, 48 oder 60 Monate?	Eso depende del plazo, de tu aportación y de si entregas algo. Nuestro vendedor te lo calcula. ¿Piensas en 36, 48 o 60 meses?
Dat hangt af van hoe je hem aanlevert. Bij een dagelijkse feed is dat dagelijks; bij een koppeling straks doorlopend.	Cela dépend de la manière dont vous le fournissez. Avec un flux quotidien, c'est quotidien ; avec une intégration, ce sera en continu.	That depends on how you supply it. With a daily feed it is daily; with an integration later on, continuously.	Das hängt davon ab, wie Sie ihn liefern. Bei einem täglichen Feed ist es täglich; bei einer Anbindung später laufend.	Depende de cómo lo entregues. Con un feed diario es diario; con una integración más adelante, en continuo.
Dat kan ik nakijken. Heb je een voorkeur voor carrosserie of brandstof?	Je peux vérifier. Avez-vous une préférence de carrosserie ou de carburant ?	I can check that. Do you have a preference for body style or fuel?	Das kann ich nachsehen. Haben Sie eine Vorliebe für Karosserie oder Kraftstoff?	Puedo comprobarlo. ¿Tienes preferencia de carrocería o de combustible?
Dat kan. Het gaat om de Golf GTI uit 2022 met 41.000 km, klopt dat?	C'est possible. Il s'agit de la Golf GTI de 2022 avec 41 000 km, c'est bien ça ?	That works. It's the 2022 Golf GTI with 41,000 km, is that right?	Das geht. Es handelt sich um den Golf GTI von 2022 mit 41.000 km, stimmt das?	Se puede. Se trata del Golf GTI de 2022 con 41.000 km, ¿correcto?
Dat laatste getal is het enige dat er echt toe doet, en het is ook het moeilijkste. Daarom beginnen we in de pilot met één cijfer in plaats van met een scherm vol grafieken.	Ce dernier chiffre est le seul qui compte vraiment, et c'est aussi le plus difficile. C'est pourquoi le pilote commence avec un seul chiffre plutôt qu'un écran plein de graphiques.	That last number is the only one that really matters, and it is also the hardest. That is why the pilot starts with one figure instead of a screen full of charts.	Diese letzte Zahl ist die einzige, die wirklich zählt, und zugleich die schwierigste. Darum beginnen wir im Piloten mit einer Zahl statt mit einem Bildschirm voller Diagramme.	Esa última cifra es la única que de verdad importa, y también la más difícil. Por eso el piloto empieza con una cifra en lugar de con una pantalla llena de gráficos.
Dat staat niet in de gegevens van deze wagen. Ik vraag het na bij een verkoper en kom erop terug.	Cela ne figure pas dans les données de ce véhicule. Je me renseigne auprès d'un vendeur et je reviens vers vous.	That is not in this vehicle's data. I'll check with a salesperson and come back to you.	Das steht nicht in den Daten dieses Fahrzeugs. Ich frage bei einem Verkäufer nach und melde mich.	Eso no está en los datos de este vehículo. Lo consulto con un vendedor y te contesto.
Dat we al autobedrijven als klant hebben die we mogen noemen	Que nous avons déjà des concessions clientes que nous pouvons citer	That we already have dealership customers we are allowed to name	Dass wir bereits Autohäuser als Kunden haben, die wir nennen dürfen	Que ya tenemos concesionarios como clientes a los que podemos nombrar
De aanvraag die anders tot morgen bleef liggen.	La demande qui serait restée là jusqu'à demain.	The enquiry that would otherwise have sat there until tomorrow.	Die Anfrage, die sonst bis morgen liegen geblieben wäre.	La solicitud que si no se habría quedado ahí hasta mañana.
De aanvraag komt om 21:43 binnen	La demande arrive à 21:43	The enquiry comes in at 21:43	Die Anfrage kommt um 21:43 herein	La solicitud entra a las 21:43
De aanvraag verdwijnt in een mailbox	La demande disparaît dans une boîte mail	The enquiry disappears into a mailbox	Die Anfrage verschwindet in einem Postfach	La solicitud desaparece en un buzón
De afspraak erbij	Le rendez-vous avec	The appointment attached	Der Termin dabei	Con la cita
De afspraak eromheen	Le rendez-vous autour	The appointment around it	Der Termin drumherum	La cita alrededor
De afspraak gaat in de agenda met de wagen erbij, en de koper krijgt een bevestiging met tijd, plaats en wat hij moet meenemen.	Le rendez-vous entre dans l'agenda avec le véhicule, et l'acheteur reçoit une confirmation avec l'heure, le lieu et ce qu'il doit apporter.	The appointment goes into the calendar with the vehicle attached, and the buyer gets a confirmation with time, place and what to bring.	Der Termin geht mit dem Fahrzeug in den Kalender, und der Käufer bekommt eine Bestätigung mit Zeit, Ort und dem, was er mitbringen soll.	La cita entra en la agenda con el vehículo, y el comprador recibe una confirmación con hora, lugar y qué debe traer.
De afspraak hoort in je agenda.	Le rendez-vous a sa place dans votre agenda.	The appointment belongs in your calendar.	Der Termin gehört in Ihren Kalender.	La cita va en tu agenda.
De afspraak komt in de agenda van je team.	Le rendez-vous arrive dans l'agenda de votre équipe.	The appointment lands in your team's calendar.	Der Termin landet im Kalender Ihres Teams.	La cita llega a la agenda de tu equipo.
De afspraak komt in de agenda waar je team in werkt.	Le rendez-vous arrive dans l'agenda où travaille votre équipe.	The appointment lands in the calendar your team works in.	Der Termin landet in dem Kalender, in dem Ihr Team arbeitet.	La cita llega a la agenda en la que trabaja tu equipo.
De afspraak vastzetten	Fixer le rendez-vous	Pinning down the appointment	Den Termin festmachen	Fijar la cita
De algemene mailbox als volwaardig kanaal.	La boîte générale comme canal à part entière.	The general mailbox as a channel in its own right.	Das allgemeine Postfach als vollwertiger Kanal.	El buzón general como canal de pleno derecho.
De auto wordt erbij gehaald	Le véhicule est rattaché	The car gets pulled in	Das Auto wird dazugeholt	Se trae el coche
De auto, het budget, de termijn en het hele gesprek. Hij hoeft niets opnieuw te vragen.	Le véhicule, le budget, la durée et toute la conversation. Il n'a rien à redemander.	The car, the budget, the term and the whole conversation. They do not have to ask anything again.	Das Auto, das Budget, die Laufzeit und das ganze Gespräch. Er muss nichts erneut fragen.	El coche, el presupuesto, el plazo y toda la conversación. No tiene que volver a preguntar nada.
De belangstelling was er al en het werk om die te wekken is al betaald. Eén opvolging meer betekent direct marge, want er hoeft niets nieuws bij.	L'intérêt était déjà là et le travail pour le susciter est déjà payé. Une relance de plus, c'est de la marge immédiate, car il n'y a rien de neuf à ajouter.	The interest was already there and the work to create it is already paid for. One more follow-up means margin straight away, because nothing new has to be added.	Das Interesse war schon da und die Arbeit dafür ist längst bezahlt. Ein Nachfassen mehr bedeutet direkt Marge, denn es muss nichts Neues dazu.	El interés ya estaba y el trabajo para generarlo ya está pagado. Un seguimiento más es margen directo, porque no hace falta añadir nada nuevo.
De beste aanvraag van de week wordt de traagst beantwoorde.	La meilleure demande de la semaine devient celle à laquelle on répond le plus tard.	The best enquiry of the week becomes the slowest answered.	Die beste Anfrage der Woche wird die am langsamsten beantwortete.	La mejor solicitud de la semana acaba siendo la que más tarda en responderse.
De drukste twee uur van je website	Les deux heures les plus chargées de votre site	The busiest two hours of your website	Die zwei geschäftigsten Stunden Ihrer Website	Las dos horas de más tráfico de tu web
De eerste autobedrijven bepalen welke koppeling er als eerste af is.	Les premières concessions décident quelle intégration sera prête en premier.	The first dealerships decide which integration gets finished first.	Die ersten Autohäuser bestimmen, welche Anbindung zuerst fertig ist.	Los primeros concesionarios deciden qué integración se termina primero.
De eerste drie lagen kun je bij tientallen leveranciers kopen. De laatste twee bepalen of er ook werkelijk iets verandert in je verkoop.	Les trois premières couches, vous pouvez les acheter chez des dizaines de fournisseurs. Les deux dernières décident s'il se passe vraiment quelque chose dans vos ventes.	The first three layers you can buy from dozens of suppliers. The last two decide whether anything actually changes in your sales.	Die ersten drei Schichten können Sie bei Dutzenden Anbietern kaufen. Die letzten beiden entscheiden, ob sich in Ihrem Verkauf wirklich etwas ändert.	Las tres primeras capas puedes comprarlas a decenas de proveedores. Las dos últimas deciden si de verdad cambia algo en tus ventas.
De eerste reactie beslist, niet de beste prijs.	C'est la première réponse qui décide, pas le meilleur prix.	The first response decides, not the best price.	Die erste Reaktion entscheidet, nicht der beste Preis.	Decide la primera respuesta, no el mejor precio.
De feed die je al gebruikt voor advertentiesites	Le flux que vous utilisez déjà pour les sites d'annonces	The feed you already use for classifieds sites	Der Feed, den Sie schon für Anzeigenportale nutzen	El feed que ya usas para los portales de anuncios
De gegevens ophalen voordat het gesprek over geld gaat.	Recueillir les données avant que la conversation ne porte sur l'argent.	Collecting the data before the conversation turns to money.	Die Daten holen, bevor das Gespräch aufs Geld kommt.	Recoger los datos antes de que la conversación llegue al dinero.
De gegevens worden opgehaald, het bedrag noemt een mens. Een getal uit een systeem is later niet meer terug te draaien.	Les données sont recueillies, le montant est annoncé par un humain. Un chiffre venu d'un système ne se rattrape plus ensuite.	The data gets collected, the figure comes from a person. A number out of a system cannot be walked back later.	Die Daten werden geholt, den Betrag nennt ein Mensch. Eine Zahl aus einem System lässt sich später nicht zurücknehmen.	Los datos se recogen, el importe lo dice una persona. Una cifra salida de un sistema ya no se puede deshacer.
De gesprekken die stilvielen zijn het goedkoopste werk dat er is. De belangstelling was er al, alleen het laatste duwtje ontbrak.	Les conversations qui se sont arrêtées sont le travail le moins cher qui soit. L'intérêt était là, il ne manquait que le dernier coup de pouce.	The conversations that went quiet are the cheapest work there is. The interest was already there, only the last nudge was missing.	Die verstummten Gespräche sind die billigste Arbeit überhaupt. Das Interesse war da, nur der letzte Anstoß fehlte.	Las conversaciones que se apagaron son el trabajo más barato que existe. El interés ya estaba, solo faltaba el último empujón.
De informatie wordt gebruikt	L'information est utilisée	The information gets used	Die Information wird genutzt	La información se usa
De inruil	La reprise	The trade-in	Die Inzahlungnahme	La entrega del usado
De inruil bepaalt vaak of een deal doorgaat, en hij komt bijna altijd pas ter sprake als de koper al op de parking staat. Dan moet je verkoper een gesprek voeren waar hij zich niet op heeft kunnen voorbereiden.	La reprise décide souvent si l'affaire se fait, et elle n'arrive presque toujours sur la table qu'une fois l'acheteur sur le parking. Votre vendeur doit alors mener une conversation à laquelle il n'a pas pu se préparer.	The trade-in often decides whether a deal happens, and it almost always comes up only once the buyer is already on the forecourt. Your salesperson then has to hold a conversation they could not prepare for.	Die Inzahlungnahme entscheidet oft, ob ein Geschäft zustande kommt, und sie kommt fast immer erst zur Sprache, wenn der Käufer schon auf dem Hof steht. Dann muss Ihr Verkäufer ein Gespräch führen, auf das er sich nicht vorbereiten konnte.	La entrega del usado suele decidir si el trato sale, y casi siempre se plantea cuando el comprador ya está en el aparcamiento. Entonces tu vendedor tiene que llevar una conversación para la que no ha podido prepararse.
