# nederlands	frans	engels	duits	spaans
BMW X5 xDrive30d	BMW X5 xDrive30d	BMW X5 xDrive30d	BMW X5 xDrive30d	BMW X5 xDrive30d
BMW X5 xDrive30d · 2021	BMW X5 xDrive30d · 2021	BMW X5 xDrive30d · 2021	BMW X5 xDrive30d · 2021	BMW X5 xDrive30d · 2021
BMW X5 · inruil Audi A4 2018 · voorstel zaterdag	BMW X5 · reprise Audi A4 2018 · proposition samedi	BMW X5 · trade-in Audi A4 2018 · proposal Saturday	BMW X5 · Inzahlungnahme Audi A4 2018 · Vorschlag Samstag	BMW X5 · entrega Audi A4 2018 · propuesta sábado
Beantwoorden	Répondre	Answering	Beantworten	Responder
Beantwoordt de financieringsvraag die vaak bij de proefrit hoort.	Répond à la question du financement, qui accompagne souvent l'essai.	Answers the financing question that often comes with the test drive.	Beantwortet die Finanzierungsfrage, die oft zur Probefahrt gehört.	Responde a la pregunta de financiación que suele acompañar a la prueba.
Beantwoordt zijn vraag en zet een afspraak vast.	Répond à sa question et fixe un rendez-vous.	Answers their question and pins down an appointment.	Beantwortet seine Frage und macht einen Termin fest.	Responde a su pregunta y fija una cita.
Bedankt. Ik twijfel nog tussen hem en een Q7.	Merci. J'hésite encore entre celui-ci et un Q7.	Thanks. I'm still torn between this one and a Q7.	Danke. Ich schwanke noch zwischen ihm und einem Q7.	Gracias. Todavía dudo entre este y un Q7.
Bedrijven die adverteren op portalen en op hun eigen site	Les entreprises qui annoncent sur des portails et sur leur propre site	Businesses that advertise on portals and on their own site	Betriebe, die auf Portalen und auf der eigenen Website inserieren	Empresas que anuncian en portales y en su propia web
Bedrijven met veertig tot driehonderd wagens op voorraad	Les entreprises avec quarante à trois cents véhicules en stock	Businesses with forty to three hundred vehicles in stock	Betriebe mit vierzig bis dreihundert Fahrzeugen auf Lager	Empresas con entre cuarenta y trescientos vehículos en stock
Beelden van de wagen of van zijn inruil gaan heen en weer zonder dat iemand een mailadres hoeft te vragen.	Les photos du véhicule ou de sa reprise circulent sans que personne ait à demander une adresse e-mail.	Pictures of the vehicle or of their trade-in go back and forth without anyone having to ask for an email address.	Bilder des Fahrzeugs oder seiner Inzahlungnahme gehen hin und her, ohne dass jemand eine E-Mail-Adresse erfragen muss.	Las fotos del vehículo o de su entrega van y vienen sin que nadie tenga que pedir un correo.
Begint vaak op de website en loopt hier door.	Commence souvent sur le site et se poursuit ici.	Often starts on the website and continues here.	Beginnt oft auf der Website und läuft hier weiter.	Suele empezar en la web y continúa aquí.
Begon hij op je website, dan gaat het gesprek mee. Geen tweede keer uitleggen welke wagen hij bedoelt.	S'il a commencé sur votre site, la conversation suit. Pas besoin de réexpliquer de quel véhicule il parle.	If they started on your website, the conversation comes along. No explaining a second time which vehicle they mean.	Hat er auf Ihrer Website angefangen, geht das Gespräch mit. Kein zweites Mal erklären, welches Fahrzeug er meint.	Si empezó en tu web, la conversación va con él. Sin explicar por segunda vez de qué vehículo habla.
Begrijpelijk. De X5 heeft 82.000 km en volledige historiek. Wil je hem zaterdag eens van dichtbij zien? Dan kun je beter vergelijken.	Ça se comprend. Le X5 affiche 82 000 km et un historique complet. Envie de le voir de près samedi ? Vous pourrez mieux comparer.	Understandable. The X5 has 82,000 km and a full history. Want to see it up close on Saturday? Then you can compare properly.	Verständlich. Der X5 hat 82.000 km und lückenlose Historie. Möchten Sie ihn am Samstag aus der Nähe sehen? Dann können Sie besser vergleichen.	Es comprensible. El X5 tiene 82.000 km e historial completo. ¿Quieres verlo de cerca el sábado? Así podrás comparar mejor.
Bekijk de acht werkstromen	Découvrez les huit flux	See the eight workflows	Die acht Abläufe ansehen	Mira los ocho flujos
Bekijk hoe het werkt	Découvrez comment ça marche	See how it works	So funktioniert es	Mira cómo funciona
Bekijkt een wagen op je site.	Regarde un véhicule sur votre site.	Looks at a vehicle on your site.	Sieht sich ein Fahrzeug auf Ihrer Website an.	Mira un vehículo en tu web.
Berichten sturen naar mensen die zich niet zelf gemeld hebben	Envoyer des messages à des gens qui ne se sont pas manifestés	Sending messages to people who did not get in touch themselves	Nachrichten an Leute schicken, die sich nicht selbst gemeldet haben	Enviar mensajes a gente que no ha contactado por su cuenta
Beschikbaarheid, gegevens, een afspraakvoorstel. Het gewone werk, meteen beantwoord.	Disponibilité, données, proposition de rendez-vous. Le travail ordinaire, traité tout de suite.	Availability, data, a proposed appointment. The ordinary work, answered straight away.	Verfügbarkeit, Daten, ein Terminvorschlag. Die gewöhnliche Arbeit, sofort beantwortet.	Disponibilidad, datos, una propuesta de cita. El trabajo normal, respondido al momento.
Beschikbaarheid, gegevens, en de vragen die daarna komen. In dezelfde toon als je bedrijf zelf zou gebruiken.	Disponibilité, données, et les questions qui suivent. Sur le ton que votre entreprise emploierait elle-même.	Availability, data, and the questions that follow. In the same tone your business would use itself.	Verfügbarkeit, Daten und die Fragen danach. Im selben Ton, den Ihr Betrieb selbst verwenden würde.	Disponibilidad, datos y las preguntas que vienen después. En el mismo tono que usaría tu propia empresa.
Beschikbaarheid, gegevens, openingsuren en wat er bij een bezoek komt kijken.	Disponibilité, données, heures d'ouverture et ce qu'implique une visite.	Availability, data, opening hours and what a visit involves.	Verfügbarkeit, Daten, Öffnungszeiten und was zu einem Besuch gehört.	Disponibilidad, datos, horarios y qué implica una visita.
Beschikbaarheid, prijs, kilometerstand en uitvoering komen uit jouw voorraad. Niet uit een schatting en niet uit een algemeen praatje.	La disponibilité, le prix, le kilométrage et la finition viennent de votre stock. Pas d'une estimation ni d'un discours général.	Availability, price, mileage and trim come from your own stock. Not from an estimate and not from a general spiel.	Verfügbarkeit, Preis, Kilometerstand und Ausstattung kommen aus Ihrem Bestand. Nicht aus einer Schätzung und nicht aus allgemeinem Gerede.	La disponibilidad, el precio, el kilometraje y el acabado salen de tu stock. No de una estimación ni de un discurso genérico.
Bestaat wel, leeft niet.	Existe, mais ne vit pas.	It exists, but it is not alive.	Existiert, lebt aber nicht.	Existe, pero no vive.
Betalingen of reserveringen met aanbetaling	Les paiements ou réservations avec acompte	Payments or reservations with a deposit	Zahlungen oder Reservierungen mit Anzahlung	Pagos o reservas con anticipo
Bevestiging en herinnering naar de koper	Confirmation et rappel à l'acheteur	Confirmation and reminder to the buyer	Bestätigung und Erinnerung an den Käufer	Confirmación y recordatorio al comprador
Bezoekers die anders doorklikten.	Des visiteurs qui, sinon, seraient partis ailleurs.	Visitors who would otherwise have clicked on.	Besucher, die sonst weitergeklickt wären.	Visitantes que si no habrían seguido su camino.
Bezoekers die niets vinden, komen niet terug.	Les visiteurs qui ne trouvent rien ne reviennent pas.	Visitors who find nothing do not come back.	Besucher, die nichts finden, kommen nicht zurück.	Los visitantes que no encuentran nada no vuelven.
