Wat er gebeurt	Ce qui se passe	What happens	Was passiert	Qué pasa
Wat er gedaan is en wat er opviel, is de aanleiding voor de volgende herinnering of offerte.	Ce qui a été fait et ce qui a été remarqué sert de point de départ au prochain rappel ou devis.	What was done and what was noticed is the trigger for the next reminder or quote.	Was gemacht wurde und was aufgefallen ist, ist der Anlass für die nächste Erinnerung oder das nächste Angebot.	Lo que se hizo y lo que se observó es el punto de partida del siguiente recordatorio o presupuesto.
Wat er geteld wordt	Ce qui est compté	What gets counted	Was gezählt wird	Qué se cuenta
Wat er meestal gebeurt: er gaat een brief of een standaardmail uit met "uw APK verloopt binnenkort, neem contact op". Dat legt het werk terug bij de klant. Hij leest het in de auto, denkt eraan het te doen, en denkt er daarna niet meer aan.	Ce qui se passe généralement : une lettre ou un mail type part avec « votre contrôle technique expire bientôt, contactez-nous ». Cela renvoie le travail au client. Il le lit dans sa voiture, se dit qu'il va le faire, et n'y repense plus.	What usually happens: a letter or a standard email goes out saying "your MOT expires soon, get in touch". That puts the work back on the customer. He reads it in the car, thinks about doing it, and then never thinks about it again.	Was meistens passiert: Es geht ein Brief oder eine Standardmail raus mit „Ihre HU läuft demnächst ab, melden Sie sich". Das schiebt die Arbeit zum Kunden zurück. Er liest es im Auto, denkt daran, es zu tun, und denkt danach nicht mehr daran.	Lo que suele pasar: sale una carta o un correo estándar con «su ITV caduca pronto, póngase en contacto». Eso devuelve el trabajo al cliente. Lo lee en el coche, piensa en hacerlo y después ya no vuelve a pensar en ello.
Wat er nodig is, is elke keer hetzelfde: kenteken, wat er gebeurd is, foto's van de schade, de verzekeraar, het polisnummer en of er tegenpartij is. Zonder die zes kun je niets plannen en niets calculeren.	Ce qu'il faut est toujours la même chose : la plaque, ce qui s'est passé, des photos des dégâts, l'assureur, le numéro de police et l'existence d'une partie adverse. Sans ces six éléments, impossible de planifier ou de chiffrer.	What is needed is the same every time: registration, what happened, photos of the damage, the insurer, the policy number and whether there is another party. Without those six you can plan nothing and estimate nothing.	Was gebraucht wird, ist jedes Mal dasselbe: Kennzeichen, was passiert ist, Fotos des Schadens, der Versicherer, die Policennummer und ob es eine Gegenseite gibt. Ohne diese sechs können Sie nichts planen und nichts kalkulieren.	Lo que hace falta es siempre lo mismo: matrícula, qué pasó, fotos del daño, la aseguradora, el número de póliza y si hay otra parte implicada. Sin esos seis no puedes planificar ni valorar nada.
Wat er op tafel ligt	Ce qui est sur la table	What is on the table	Was auf dem Tisch liegt	Lo que hay sobre la mesa
Wat gebeurt er met die gegevens?	Que deviennent ces données ?	What happens to that data?	Was passiert mit diesen Daten?	¿Qué pasa con esos datos?
Wat gebeurt er zonder koppeling?	Que se passe-t-il sans intégration ?	What happens without an integration?	Was passiert ohne Anbindung?	¿Qué pasa sin integración?
Wat het opleverde	Ce que cela a rapporté	What it produced	Was es gebracht hat	Lo que aportó
Wat het oplevert	Ce que cela rapporte	What it produces	Was es bringt	Lo que aporta
Wat het systeem doet in een onafhankelijke garage	Ce que fait le système dans un garage indépendant	What the system does in an independent garage	Was das System in einer freien Werkstatt tut	Qué hace el sistema en un taller independiente
Wat het systeem doet.	Ce que fait le système.	What the system does.	Was das System tut.	Qué hace el sistema.
Wat het systeem erbij wist	Ce que le système savait en plus	What the system knew on top	Was das System zusätzlich wusste	Lo que el sistema ya sabía
Wat je erover wil weten	Ce que vous voulez en savoir	What you want to know about it	Was Sie darüber wissen wollen	Lo que quieres saber al respecto
Wat je erover wil weten, staat er	Ce que vous voulez en savoir y figure	What you want to know about it is there	Was Sie darüber wissen wollen, steht da	Lo que quieres saber al respecto está ahí
