Hij boekt niets buiten de grenzen die je zelf hebt gezet, ook niet als de klant aandringt.	Il ne réserve rien en dehors des limites que vous avez fixées, même si le client insiste.	He books nothing outside the limits you have set yourself, even if the customer insists.	Er bucht nichts außerhalb der Grenzen, die Sie selbst gesetzt haben, auch nicht wenn der Kunde drängt.	No reserva nada fuera de los límites que tú has puesto, aunque el cliente insista.
Hij controleert geen rijbewijs en geen leeftijd. Dat gebeurt bij het ophalen.	Il ne vérifie ni le permis ni l'âge. Cela se fait au moment de la remise.	He does not check the licence or the age. That happens at collection.	Er prüft weder Führerschein noch Alter. Das passiert bei der Abholung.	No comprueba el carné ni la edad. Eso se hace al recoger.
Hij doet geen prijsvergelijking tussen leveranciers.	Il ne compare pas les prix entre fournisseurs.	He does not compare prices between suppliers.	Er macht keinen Preisvergleich zwischen Lieferanten.	No compara precios entre proveedores.
Hij geeft geen leenauto weg buiten de regels die jij hebt vastgelegd.	Il ne prête aucun véhicule en dehors des règles que vous avez fixées.	He does not hand out a courtesy car outside the rules you have set.	Er gibt keinen Ersatzwagen außerhalb der Regeln heraus, die Sie festgelegt haben.	No entrega ningún coche de cortesía fuera de las reglas que tú has fijado.
Hij geeft geen technisch advies over of iets kan wachten, alleen wat jij hebt vastgelegd.	Il ne donne pas d'avis technique sur la possibilité d'attendre, seulement ce que vous avez consigné.	He gives no technical advice on whether something can wait, only what you have recorded.	Er gibt keinen technischen Rat dazu, ob etwas warten kann, nur das, was Sie festgelegt haben.	No da consejo técnico sobre si algo puede esperar, solo lo que tú has definido.
Hij gooit geen opgeslagen banden weg. Hij vraagt het alleen na.	Il ne jette aucun pneu stocké. Il se contente de poser la question.	He does not throw away stored tyres. He only asks about them.	Er wirft keine eingelagerten Reifen weg. Er fragt nur nach.	No tira ningún neumático almacenado. Solo lo pregunta.
Hij keurt niets goed of af. Hij plant alleen de afspraak.	Il ne valide ni ne refuse rien. Il planifie seulement le rendez-vous.	He passes or fails nothing. He only books the appointment.	Er bestanden oder durchfallen lässt er nichts. Er plant nur den Termin.	No aprueba ni suspende nada. Solo programa la cita.
Hij kiest niet tussen varianten als de uitvoering onduidelijk is.	Il ne choisit pas entre les variantes lorsque la version n'est pas claire.	He does not choose between variants when the version is unclear.	Er wählt nicht zwischen Varianten, wenn die Ausführung unklar ist.	No elige entre variantes cuando la versión no está clara.
Hij komt echt nog wel een keer.	Il reviendra bien un jour.	He will come back some time, really.	Er kommt schon noch mal.	Ya volverá alguna vez.
Hij maakt geen calculatie en noemt geen reparatiebedrag.	Il ne chiffre pas et n'annonce aucun montant de réparation.	He does not produce an estimate and names no repair amount.	Er erstellt keine Kalkulation und nennt keinen Reparaturbetrag.	No hace valoración ni menciona un importe de reparación.
Hij meldt de schade niet aan bij een verzekeraar.	Il ne déclare pas le sinistre à un assureur.	He does not report the damage to an insurer.	Er meldet den Schaden keiner Versicherung.	No comunica el siniestro a ninguna aseguradora.
Hij meldt niets af bij de RDW. Dat blijft bij jou.	Il n'enregistre rien auprès du RDW. Cela reste de votre ressort.	He registers nothing with the RDW. That stays with you.	Er meldet nichts beim RDW ab. Das bleibt bei Ihnen.	No registra nada en el RDW. Eso sigue siendo cosa tuya.
Hij noemt alleen prijzen die jij hebt vastgelegd. Voor reparaties na de keuring belt een mens.	Il ne cite que les prix que vous avez fixés. Pour les réparations après le contrôle, un humain appelle.	He only names prices you have set. For repairs after the inspection, a person calls.	Er nennt nur Preise, die Sie festgelegt haben. Für Reparaturen nach der Untersuchung ruft ein Mensch an.	Solo menciona precios que tú has fijado. Para reparaciones tras la inspección llama una persona.
Hij onderhandelt niet over de prijs en geeft geen korting.	Il ne négocie pas le prix et n'accorde pas de remise.	He does not negotiate the price and gives no discount.	Er verhandelt nicht über den Preis und gibt keinen Rabatt.	No negocia el precio ni hace descuentos.
Hij past de offerte niet aan. Moet er iets veranderen, dan gaat het naar je balie.	Il ne modifie pas le devis. Si quelque chose doit changer, cela passe à votre comptoir.	He does not change the quote. If something has to change, it goes to your front desk.	Er passt das Angebot nicht an. Muss sich etwas ändern, geht es an Ihren Empfang.	No modifica el presupuesto. Si algo tiene que cambiar, pasa a tu mostrador.
Hij rekent geen kosten door bij niet verschijnen. Dat is jouw beleid, niet het zijne.	Il ne facture rien en cas d'absence. C'est votre politique, pas la sienne.	He charges nothing for non-attendance. That is your policy, not his.	Er berechnet nichts bei Nichterscheinen. Das ist Ihre Politik, nicht seine.	No cobra nada por no presentarse. Esa es tu política, no la suya.
Hij sluit geen huurovereenkomst. Het papierwerk teken je bij de balie.	Il ne conclut aucun contrat de location. Les papiers se signent au comptoir.	He does not enter into a rental agreement. The paperwork gets signed at the front desk.	Er schließt keinen Mietvertrag. Den Papierkram unterschreiben Sie am Empfang.	No firma ningún contrato de alquiler. El papeleo se firma en el mostrador.
Hij stelt geen diagnose. Bij een onbekende klacht plant hij tijd om te kijken, geen reparatie.	Il ne pose pas de diagnostic. Face à une panne inconnue, il planifie du temps pour examiner, pas une réparation.	He does not diagnose. With an unknown fault he books time to look, not a repair.	Er stellt keine Diagnose. Bei einer unbekannten Beanstandung plant er Zeit zum Schauen ein, keine Reparatur.	No diagnostica. Ante una avería desconocida reserva tiempo para mirar, no una reparación.
Hij stopt na drie berichten, ook als er niets is teruggekomen.	Il s'arrête après trois messages, même sans réponse.	He stops after three messages, even if nothing has come back.	Er hört nach drei Nachrichten auf, auch wenn nichts zurückgekommen ist.	Se para después de tres mensajes, aunque no haya respuesta.
Hij stopt na drie berichten. Blijven aandringen levert geen afspraken op, alleen ergernis.	Il s'arrête après trois messages. Insister ne produit pas de rendez-vous, seulement de l'agacement.	He stops after three messages. Continuing to push produces no appointments, only irritation.	Er hört nach drei Nachrichten auf. Weiter zu drängen bringt keine Termine, nur Ärger.	Se para después de tres mensajes. Insistir no produce citas, solo irritación.
Hij verkoopt geen banden en noemt geen prijzen die jij niet hebt vastgelegd.	Il ne vend pas de pneus et ne cite aucun prix que vous n'avez pas fixé.	He does not sell tyres and names no prices you have not set.	Er verkauft keine Reifen und nennt keine Preise, die Sie nicht festgelegt haben.	No vende neumáticos ni menciona precios que tú no hayas fijado.
Hij verschuift geen bestaande afspraken om ruimte te maken.	Il ne déplace pas de rendez-vous existants pour faire de la place.	He does not move existing appointments to make room.	Er verschiebt keine bestehenden Termine, um Platz zu schaffen.	No mueve citas existentes para hacer sitio.
Hij verzint geen kilometerstand. Zonder gegevens over het laatste bezoek valt er weinig te zeggen.	Il n'invente pas de kilométrage. Sans données sur la dernière visite, il y a peu à dire.	He does not invent a mileage. Without data about the last visit there is little to say.	Er erfindet keinen Kilometerstand. Ohne Daten zum letzten Besuch lässt sich wenig sagen.	No se inventa el kilometraje. Sin datos de la última visita hay poco que decir.
Hij vult een gat alleen met klanten die al een afspraak hadden of zich hebben aangemeld.	Il ne comble un trou qu'avec des clients qui avaient déjà un rendez-vous ou qui se sont manifestés.	He only fills a gap with customers who already had an appointment or who signed up.	Er füllt eine Lücke nur mit Kunden, die schon einen Termin hatten oder sich gemeldet haben.	Solo llena un hueco con clientes que ya tenían cita o que se han apuntado.
Historie als context	L'historique comme contexte	History as context	Historie als Kontext	El historial como contexto
Hoe dit gerekend wordt	Comment ce calcul est fait	How this is calculated	Wie hier gerechnet wird	Cómo se calcula esto
Hoe een case er hier uit gaat zien.	À quoi ressemblera une étude de cas ici.	What a case study here will look like.	Wie eine Fallstudie hier aussehen wird.	Cómo será aquí un caso.
Hoe het in elkaar zit	Comment c'est agencé	How it fits together	Wie es zusammenhängt	Cómo encaja todo
Hoe vaak er een leenauto gevraagd werd, hoe vaak er geen vrij was en welke afspraken daardoor niet doorgingen.	Combien de fois un véhicule de courtoisie a été demandé, combien de fois aucun n'était libre et quels rendez-vous n'ont pas eu lieu pour cette raison.	How often a courtesy car was asked for, how often none was free and which appointments fell through as a result.	Wie oft ein Ersatzwagen gefragt war, wie oft keiner frei war und welche Termine deshalb nicht zustande kamen.	Cuántas veces se pidió coche de cortesía, cuántas no había ninguno libre y qué citas no salieron por eso.
Hoelang de klus duurt, en of er dus vervoer nodig is.	Combien de temps dure l'intervention, et donc s'il faut un moyen de transport.	How long the job takes, and therefore whether transport is needed.	Wie lange die Arbeit dauert und ob damit Transport nötig ist.	Cuánto dura el trabajo y, por tanto, si hace falta transporte.
Hoeveel afspraken, hoeveel verzet, hoeveel niet gekomen, hoeveel gaten opnieuw gevuld.	Combien de rendez-vous, combien déplacés, combien manqués, combien de trous comblés à nouveau.	How many appointments, how many rescheduled, how many no-shows, how many gaps filled again.	Wie viele Termine, wie viele verschoben, wie viele nicht gekommen, wie viele Lücken wieder gefüllt.	Cuántas citas, cuántas cambiadas, cuántas ausencias, cuántos huecos vueltos a llenar.
Hoeveel benaderd, hoeveel geboekt, hoe de weken verdeeld zijn.	Combien contactés, combien réservés, comment les semaines se répartissent.	How many approached, how many booked, how the weeks are spread.	Wie viele angeschrieben, wie viele gebucht, wie die Wochen verteilt sind.	Cuántos contactados, cuántos reservados, cómo se reparten las semanas.
Hoeveel benaderd, hoeveel gereageerd, hoeveel geboekt. Per week, exporteerbaar, zodat je ziet of het iets doet.	Combien contactés, combien ont répondu, combien ont réservé. Par semaine, exportable, pour que vous voyiez si cela donne quelque chose.	How many approached, how many replied, how many booked. Per week, exportable, so you can see whether it does anything.	Wie viele angeschrieben, wie viele geantwortet, wie viele gebucht. Pro Woche, exportierbar, damit Sie sehen, ob es etwas bringt.	Cuántos contactados, cuántos respondieron, cuántos reservaron. Por semana, exportable, para que veas si sirve de algo.
Hoeveel daarvan zou een afspraak worden? (%)	Quelle part deviendrait un rendez-vous ? (%)	How many of those would become an appointment? (%)	Wie viele davon würden ein Termin werden? (%)	¿Cuántas de esas se convertirían en cita? (%)
Hoeveel extra klantcontact werd een afspraak, vergeleken met de nulmeting. Valt het tegen, dan schrijven we dat op. Dat is de afspraak.	Combien de contacts clients supplémentaires sont devenus des rendez-vous, par rapport à la mesure de départ. Si le résultat déçoit, nous l'écrivons. C'est l'accord.	How much extra customer contact became an appointment, compared with the baseline. If it disappoints, we write that down. That is the deal.	Wie viel zusätzlicher Kundenkontakt zu einem Termin wurde, verglichen mit der Nullmessung. Fällt es enttäuschend aus, schreiben wir das auf. Das ist die Abmachung.	Cuánto contacto de cliente adicional se convirtió en cita, comparado con la medición inicial. Si decepciona, lo escribimos. Ese es el acuerdo.
