# nederlands	frans	engels	duits	spaans
Nieuwe aanvraag	Nouvelle demande	New enquiry	Neue Anfrage	Nueva solicitud
Nieuwe aanvraag, proefrit, advies, inruil, financiering, opvolging, e-mail en WhatsApp. Acht stuks, allemaal binnen hetzelfde systeem.	Nouvelle demande, essai, conseil, reprise, financement, suivi, courriel et WhatsApp. Huit au total, tous dans le même système.	New enquiry, test drive, advice, trade-in, financing, follow-up, email and WhatsApp. Eight of them, all within the same system.	Neue Anfrage, Probefahrt, Beratung, Inzahlungnahme, Finanzierung, Nachfassen, E-Mail und WhatsApp. Acht Stück, alle im selben System.	Nueva solicitud, prueba, asesoramiento, entrega, financiación, seguimiento, correo y WhatsApp. Ocho en total, todos dentro del mismo sistema.
Noemt het een inruilbedrag?	Cite-t-il un montant de reprise ?	Does it name a trade-in figure?	Nennt es einen Inzahlungnahmebetrag?	¿Dice un importe de tasación?
Of stel zelf een vraag over een auto, via WhatsApp	Ou posez vous-même une question sur une voiture, via WhatsApp	Or ask a question about a car yourself, through WhatsApp	Oder stellen Sie selbst eine Frage zu einem Auto, über WhatsApp	O haz tú mismo una pregunta sobre un coche, por WhatsApp
Omdat de wagen aan de afspraak hangt en de agenda de bron is, kan dat niet ontstaan vanuit het systeem.	Comme le véhicule est rattaché au rendez-vous et que l'agenda est la source, cela ne peut pas venir du système.	Because the vehicle hangs off the appointment and the calendar is the source, that cannot arise from the system.	Weil das Fahrzeug am Termin hängt und der Kalender die Quelle ist, kann das nicht vom System kommen.	Como el vehículo va unido a la cita y la agenda es la fuente, eso no puede surgir del sistema.
Omdat de wagen aan de afspraak hangt, kan hij niet per ongeluk twee keer beloofd worden.	Comme le véhicule est rattaché au rendez-vous, il ne peut pas être promis deux fois par erreur.	Because the vehicle hangs off the appointment, it cannot be promised twice by accident.	Weil das Fahrzeug am Termin hängt, kann es nicht versehentlich zweimal versprochen werden.	Como el vehículo va unido a la cita, no puede prometerse dos veces por error.
Onafhankelijke autobedrijven en occasiondealers	Les concessions indépendantes et les marchands d'occasion	Independent dealerships and used-car traders	Freie Autohäuser und Gebrauchtwagenhändler	Concesionarios independientes y vendedores de ocasión
Onbeantwoorde aanvragen zijn het makkelijkste deel om te tellen.	Les demandes sans réponse sont la partie la plus facile à compter.	Unanswered enquiries are the easiest part to count.	Unbeantwortete Anfragen sind der Teil, der am leichtesten zu zählen ist.	Las solicitudes sin responder son la parte más fácil de contar.
Onderhandelt het over de prijs?	Négocie-t-il le prix ?	Does it negotiate on price?	Verhandelt es über den Preis?	¿Negocia el precio?
Onderhoudsboekje, schadeverleden, aantal eigenaren, bijzonderheden. Precies de punten die het bedrag later bepalen.	Carnet d'entretien, antécédents de dommages, nombre de propriétaires, particularités. Exactement les points qui détermineront le montant ensuite.	Service book, damage history, number of owners, anything notable. Exactly the points that set the figure later.	Scheckheft, Schadenhistorie, Zahl der Vorbesitzer, Besonderheiten. Genau die Punkte, die den Betrag später bestimmen.	Libro de mantenimiento, historial de daños, número de propietarios, particularidades. Justo los puntos que después fijan el importe.
Ook als hij later op WhatsApp verdergaat, blijft het hetzelfde dossier met dezelfde wagen.	Même s'il poursuit plus tard sur WhatsApp, cela reste le même dossier avec le même véhicule.	Even if they continue on WhatsApp later, it stays the same file with the same vehicle.	Auch wenn er später auf WhatsApp weitermacht, bleibt es dieselbe Akte mit demselben Fahrzeug.	Aunque después siga por WhatsApp, sigue siendo el mismo expediente con el mismo vehículo.
Op WhatsApp antwoorden mensen	Sur WhatsApp, les gens répondent	On WhatsApp people answer	Auf WhatsApp antworten Leute	En WhatsApp la gente responde
Op de meeste sites van dit type staan percentages zonder bron en tevreden klanten zonder achternaam. Wij hebben die niet, want Helvaro draait nog niet lang genoeg bij een autobedrijf om iets hards te kunnen zeggen. Deze pagina legt uit wat we in plaats daarvan doen.	Sur la plupart des sites de ce genre, on trouve des pourcentages sans source et des clients satisfaits sans nom de famille. Nous n'en avons pas, car Helvaro ne tourne pas encore assez longtemps chez une concession pour pouvoir affirmer quoi que ce soit de solide. Cette page explique ce que nous faisons à la place.	Most sites of this kind show percentages without a source and happy customers without a surname. We do not have those, because Helvaro has not been running at a dealership long enough to say anything solid. This page explains what we do instead.	Auf den meisten Seiten dieser Art stehen Prozente ohne Quelle und zufriedene Kunden ohne Nachnamen. Die haben wir nicht, denn Helvaro läuft noch nicht lange genug bei einem Autohaus, um etwas Belastbares sagen zu können. Diese Seite erklärt, was wir stattdessen tun.	En la mayoría de webs de este tipo hay porcentajes sin fuente y clientes satisfechos sin apellido. Nosotros no los tenemos, porque Helvaro no lleva funcionando en un concesionario el tiempo suficiente para decir algo sólido. Esta página explica qué hacemos en su lugar.
Op elk moment stapt een verkoper in het gesprek en stopt het systeem met antwoorden. De koper merkt geen overdracht, hij krijgt gewoon antwoord van een mens.	À tout moment, un vendeur entre dans la conversation et le système cesse de répondre. L'acheteur ne remarque aucun transfert, il reçoit simplement la réponse d'un humain.	At any moment a salesperson steps into the conversation and the system stops answering. The buyer notices no handover, they simply get an answer from a person.	Jederzeit steigt ein Verkäufer ins Gespräch ein und das System hört auf zu antworten. Der Käufer merkt von der Übergabe nichts, er bekommt einfach Antwort von einem Menschen.	En cualquier momento un vendedor entra en la conversación y el sistema deja de responder. El comprador no nota el traspaso, simplemente recibe respuesta de una persona.
Op je website staat een filter met merk, prijs en brandstof. Wie precies weet wat hij zoekt, komt daar wel uit. Wie het niet weet, klikt drie keer en gaat weg.	Sur votre site, il y a un filtre par marque, prix et carburant. Celui qui sait exactement ce qu'il cherche s'en sort. Celui qui ne le sait pas clique trois fois et s'en va.	Your website has a filter with make, price and fuel. Anyone who knows exactly what they want will manage. Anyone who does not clicks three times and leaves.	Auf Ihrer Website steht ein Filter mit Marke, Preis und Kraftstoff. Wer genau weiß, was er sucht, kommt damit zurecht. Wer es nicht weiß, klickt dreimal und geht.	En tu web hay un filtro con marca, precio y combustible. Quien sabe exactamente qué busca se apaña. Quien no lo sabe hace tres clics y se va.
Open, teruggehaald, afgehaakt, verlopen.	Ouvert, récupéré, abandonné, expiré.	Open, recovered, dropped out, expired.	Offen, zurückgeholt, abgesprungen, abgelaufen.	Abierto, recuperado, abandonado, caducado.
Ophalen wat nodig is	Recueillir ce qu'il faut	Collecting what is needed	Holen, was nötig ist	Recoger lo necesario
Opvolgen hangt aan iemands geheugen	Le suivi dépend de la mémoire de quelqu'un	Following up hangs on someone's memory	Nachfassen hängt an jemandes Gedächtnis	El seguimiento depende de la memoria de alguien
