# nederlands	frans	engels	duits	spaans
De nieuwe aanvraag	La nouvelle demande	The new enquiry	Die neue Anfrage	La nueva solicitud
De opvolging	Le suivi	The follow-up	Das Nachfassen	El seguimiento
De rest eruit halen	Écarter le reste	Filtering the rest out	Den Rest heraushalten	Dejar fuera el resto
De serieuze aanvragen	Les demandes sérieuses	The serious enquiries	Die ernsten Anfragen	Las solicitudes serias
De sterkste vraag krijgt het vaagste antwoord.	La question la plus forte reçoit la réponse la plus vague.	The strongest question gets the vaguest answer.	Die stärkste Frage bekommt die vageste Antwort.	La pregunta más fuerte recibe la respuesta más vaga.
De taal van de koper wordt herkend en het gesprek loopt door in die taal. Voor wie ook over de grens verkoopt, scheelt dat een halve verkoper.	La langue de l'acheteur est reconnue et la conversation se poursuit dans cette langue. Pour qui vend aussi de l'autre côté de la frontière, cela vaut un demi-vendeur.	The buyer's language is recognised and the conversation continues in that language. For anyone selling across the border too, that saves half a salesperson.	Die Sprache des Käufers wird erkannt und das Gespräch läuft in dieser Sprache weiter. Wer auch über die Grenze verkauft, spart damit einen halben Verkäufer.	Se reconoce el idioma del comprador y la conversación sigue en ese idioma. Para quien también vende al otro lado de la frontera, eso vale medio vendedor.
De toon en de openingszin stel je zelf in. Een dorpsgarage klinkt anders dan een merkdealer, en dat hoort ook.	Le ton et la phrase d'accueil, c'est vous qui les réglez. Un garage de village ne sonne pas comme un concessionnaire de marque, et c'est normal.	You set the tone and the opening line yourself. A village garage sounds different from a franchised dealer, and so it should.	Den Ton und den Begrüßungssatz stellen Sie selbst ein. Eine Dorfwerkstatt klingt anders als ein Markenhändler, und das soll auch so sein.	El tono y la frase de bienvenida los ajustas tú. Un taller de pueblo no suena como un concesionario oficial, y así debe ser.
De twee vragen die elke verkoop vertragen. Ze worden uitgevraagd in hetzelfde gesprek, met een verkoper die het bedrag bepaalt.	Les deux questions qui ralentissent chaque vente. Elles sont posées dans la même conversation, avec un vendeur qui fixe le montant.	The two questions that slow every sale down. They get asked in the same conversation, with a salesperson setting the figure.	Die zwei Fragen, die jeden Verkauf bremsen. Sie werden im selben Gespräch gestellt, mit einem Verkäufer, der den Betrag bestimmt.	Las dos preguntas que frenan cada venta. Se plantean en la misma conversación, con un vendedor que fija el importe.
De tweede kans komt er nooit.	La deuxième chance ne vient jamais.	The second chance never comes.	Die zweite Chance kommt nie.	La segunda oportunidad nunca llega.
De twijfelaar blijft	L'hésitant reste	The waverer stays	Der Zweifler bleibt	El indeciso se queda
De verkoper	Le vendeur	The salesperson	Der Verkäufer	El vendedor
De verkoper weet wie er komt	Le vendeur sait qui arrive	The salesperson knows who is coming	Der Verkäufer weiß, wer kommt	El vendedor sabe quién viene
De voorraad is de bron, niet een los overzicht.	Le stock est la source, pas un tableau à part.	The stock is the source, not a separate overview.	Der Bestand ist die Quelle, nicht eine lose Übersicht.	El stock es la fuente, no un listado aparte.
