# nederlands	frans	engels	duits	spaans
Levert de wagen aan die deel van de financiering wordt.	Fournit le véhicule qui fera partie du financement.	Supplies the vehicle that becomes part of the financing.	Liefert das Fahrzeug, das Teil der Finanzierung wird.	Aporta el vehículo que pasa a formar parte de la financiación.
Levert prijs, kilometerstand, uitvoering en beschikbaarheid.	Fournit le prix, le kilométrage, la finition et la disponibilité.	Supplies price, mileage, trim and availability.	Liefert Preis, Kilometerstand, Ausstattung und Verfügbarkeit.	Aporta precio, kilometraje, acabado y disponibilidad.
Liefst een SUV, benzine of hybride.	De préférence un SUV, essence ou hybride.	Preferably an SUV, petrol or hybrid.	Am liebsten ein SUV, Benzin oder Hybrid.	Preferiblemente un SUV, gasolina o híbrido.
Links wat er binnenkomt. Rechts wat ermee gebeurt zonder een systeem erachter.	À gauche ce qui arrive. À droite ce qu'il en advient sans système derrière.	On the left what comes in. On the right what happens to it without a system behind it.	Links, was hereinkommt. Rechts, was damit ohne System dahinter passiert.	A la izquierda lo que entra. A la derecha lo que pasa con ello sin un sistema detrás.
Logo's tonen van partners die we niet hebben	Afficher des logos de partenaires que nous n'avons pas	Showing logos of partners we do not have	Logos von Partnern zeigen, die wir nicht haben	Mostrar logotipos de socios que no tenemos
Looptijd, eigen inbreng, eventuele inruil en de goedkeuring van de kredietgever. Geen bedrag, wel duidelijkheid.	Durée, apport, reprise éventuelle et accord du prêteur. Pas de montant, mais de la clarté.	Term, own contribution, possible trade-in and the lender's approval. No figure, but clarity.	Laufzeit, Eigenanteil, mögliche Inzahlungnahme und die Zusage des Kreditgebers. Kein Betrag, aber Klarheit.	Plazo, aportación propia, posible entrega y la aprobación del prestamista. Sin importe, pero con claridad.
Mailt hij vanavond en appt hij morgen, dan is dat dezelfde koper met dezelfde wagen.	S'il écrit ce soir et envoie un message demain, c'est le même acheteur avec le même véhicule.	If they email tonight and message tomorrow, that is the same buyer with the same vehicle.	Mailt er heute Abend und schreibt er morgen, ist das derselbe Käufer mit demselben Fahrzeug.	Si escribe un correo hoy y un mensaje mañana, es el mismo comprador con el mismo vehículo.
Meekijken op de pagina	Suivre depuis la page	Watching along on the page	Auf der Seite mitschauen	Seguir desde la página
Meelezen en overnemen door elke verkoper	Suivi et reprise en main par chaque vendeur	Reading along and taking over by every salesperson	Mitlesen und Übernehmen durch jeden Verkäufer	Lectura y relevo por cualquier vendedor
Meer is er niet. Geen migratie, geen nieuw pakket en geen maandenlange invoering.	Il n'y a rien de plus. Pas de migration, pas de nouveau logiciel et pas de déploiement de plusieurs mois.	That is all. No migration, no new package and no months-long rollout.	Mehr ist es nicht. Keine Migration, kein neues Paket und keine monatelange Einführung.	Nada más. Sin migración, sin programa nuevo y sin una implantación de meses.
Meer mensen achter het stuur.	Plus de gens au volant.	More people behind the wheel.	Mehr Leute hinterm Steuer.	Más gente al volante.
Meestal binnen 72 uur, afhankelijk van waar je voorraad staat. Eén script op je website, je voorraadbestand erin, één werkstroom aan. Geen migratie en geen maandenlange invoering.	Généralement sous 72 heures, selon l'endroit où se trouve votre stock. Un script sur votre site, votre fichier de stock dedans, un flux activé. Pas de migration ni de déploiement de plusieurs mois.	Usually within 72 hours, depending on where your stock sits. One script on your website, your stock file in, one workflow on. No migration and no months-long rollout.	Meist innerhalb von 72 Stunden, je nachdem, wo Ihr Bestand liegt. Ein Skript auf Ihrer Website, Ihre Bestandsdatei hinein, ein Ablauf an. Keine Migration und keine monatelange Einführung.	Normalmente en 72 horas, según dónde esté tu stock. Un script en tu web, tu archivo de stock dentro, un flujo encendido. Sin migración ni implantación de meses.
Mensen die vorige week over een wagen praatten en daarna niets meer lieten horen. Ze staan in niemands lijstje.	Des gens qui ont parlé d'un véhicule la semaine dernière et qui n'ont plus donné signe de vie. Ils ne figurent sur la liste de personne.	People who talked about a vehicle last week and then went silent. They are on nobody's list.	Leute, die letzte Woche über ein Fahrzeug sprachen und sich danach nicht mehr meldeten. Sie stehen auf niemandes Liste.	Gente que la semana pasada habló de un vehículo y después no dijo nada más. No están en la lista de nadie.
Mensen zitten op de bank te kijken naar de wagens die jij op het terrein hebt staan. Ze hebben vragen en niemand om ze aan te stellen.	Des gens regardent depuis leur canapé les véhicules que vous avez sur votre parc. Ils ont des questions et personne à qui les poser.	People are on the sofa looking at the vehicles you have on your forecourt. They have questions and nobody to ask them.	Leute sitzen auf dem Sofa und schauen sich die Fahrzeuge an, die bei Ihnen auf dem Hof stehen. Sie haben Fragen und niemanden, den sie fragen könnten.	Hay gente en el sofá mirando los vehículos que tienes en el terreno. Tienen preguntas y nadie a quien hacérselas.
Merk, bouwjaar, kilometers, historiek en foto's binnen voordat hij voorrijdt. Het bedrag bepaalt je verkoper, het uitvragen niet.	Marque, année, kilométrage, historique et photos reçus avant qu'il n'arrive. Le montant, c'est votre vendeur qui le fixe ; le recueil des informations, non.	Make, year, mileage, history and photos in before they pull up. Your salesperson sets the figure, not the asking.	Marke, Baujahr, Kilometer, Historie und Fotos da, bevor er vorfährt. Den Betrag bestimmt Ihr Verkäufer, das Abfragen nicht.	Marca, año, kilómetros, historial y fotos recibidos antes de que aparezca. El importe lo fija tu vendedor, la recogida de datos no.
