Gebruikt dezelfde prijzen in de offerte die de deur uitgaat.	Utilise les mêmes prix dans le devis qui part.	Uses the same prices in the quote that goes out.	Verwendet dieselben Preise im Angebot, das rausgeht.	Usa los mismos precios en el presupuesto que sale.
Gedaan. Zaterdag 09:30, grote beurt, ongeveer drie uur. Het slot van morgen bieden we aan iemand anders aan.	C'est fait. Samedi 09h30, grand entretien, environ trois heures. Nous proposons le créneau de demain à quelqu'un d'autre.	Done. Saturday 09:30, major service, about three hours. We will offer tomorrow's slot to someone else.	Erledigt. Samstag 09:30, große Inspektion, etwa drei Stunden. Das Zeitfenster von morgen bieten wir jemand anderem an.	Hecho. Sábado a las 09:30, revisión grande, unas tres horas. La franja de mañana se la ofrecemos a otra persona.
Geen "neem contact op", maar "donderdag de 13e om 08:30 is vrij". Het verschil tussen die twee zinnen is het verschil tussen een herinnering en een afspraak.	Pas de « contactez-nous », mais « jeudi 13 à 08h30 est libre ». La différence entre ces deux phrases, c'est la différence entre un rappel et un rendez-vous.	Not "get in touch", but "Thursday the 13th at 08:30 is free". The difference between those two sentences is the difference between a reminder and an appointment.	Kein „melden Sie sich", sondern „Donnerstag, der 13., um 08:30 ist frei". Der Unterschied zwischen diesen beiden Sätzen ist der Unterschied zwischen einer Erinnerung und einem Termin.	No «ponte en contacto», sino «el jueves 13 a las 08:30 está libre». La diferencia entre esas dos frases es la diferencia entre un recordatorio y una cita.
Geen IT-project	Pas un projet informatique	Not an IT project	Kein IT-Projekt	No es un proyecto de informática
Geen beloofde cijfers	Pas de chiffres promis	No promised figures	Keine versprochenen Zahlen	Sin cifras prometidas
Geen calculatie zonder foto’s	Pas de chiffrage sans photos	No estimate without photos	Keine Kalkulation ohne Fotos	Sin fotos no hay valoración
Geen chatbot die vragen beantwoordt. Een systeem dat afspraken oplevert.	Pas un chatbot qui répond aux questions. Un système qui produit des rendez-vous.	Not a chatbot that answers questions. A system that produces appointments.	Kein Chatbot, der Fragen beantwortet. Ein System, das Termine liefert.	No un chatbot que responde preguntas. Un sistema que produce citas.
Geen diagnose	Pas de diagnostic	No diagnosis	Keine Diagnose	Sin diagnóstico
Geen dubbele toezeggingen	Pas de double réservation	No double bookings	Keine doppelten Zusagen	Sin promesas duplicadas
Geen eindeloze herhaling, maar wel een nieuwe poging bij het volgende natuurlijke moment.	Pas de répétition sans fin, mais une nouvelle tentative au prochain moment naturel.	No endless repetition, but a new attempt at the next natural moment.	Keine endlose Wiederholung, aber ein neuer Versuch beim nächsten natürlichen Anlass.	Sin repetición infinita, pero sí un nuevo intento en el siguiente momento natural.
Geen enkele kans verdwijnt meer omdat je team bezig was. Wat binnenkomt wordt beantwoord, uitgevraagd en ingepland.	Plus aucune opportunité ne disparaît parce que votre équipe était occupée. Ce qui arrive est traité, précisé et planifié.	No opportunity disappears any more because your team was busy. What comes in gets answered, questioned and scheduled.	Keine Chance verschwindet mehr, weil Ihr Team beschäftigt war. Was hereinkommt, wird beantwortet, abgefragt und eingeplant.	Ya no desaparece ninguna oportunidad porque tu equipo estaba ocupado. Lo que entra se responde, se concreta y se planifica.
Geen ja, geen nee, alleen stilte.	Ni oui, ni non, juste le silence.	No yes, no no, just silence.	Kein Ja, kein Nein, nur Stille.	Ni sí, ni no, solo silencio.
Geen klacht, geen ruzie. Ze zijn je vergeten. In je bestand staan er waarschijnlijk honderden, en niemand heeft tijd om te bellen.	Pas de plainte, pas de dispute. Ils vous ont oublié. Votre fichier en compte probablement des centaines, et personne n'a le temps d'appeler.	No complaint, no argument. They have forgotten you. There are probably hundreds of them in your records, and nobody has time to call.	Keine Beschwerde, kein Streit. Sie haben Sie vergessen. In Ihrer Datei stehen wahrscheinlich Hunderte davon, und niemand hat Zeit zu telefonieren.	Sin queja, sin discusión. Te han olvidado. En tu fichero probablemente hay cientos, y nadie tiene tiempo de llamar.
Geen klantenwerving	Pas de prospection	No customer acquisition	Keine Kundenakquise	Sin captación de clientes
Geen los hulpje.	Pas un petit outil isolé.	Not a loose little helper.	Kein loses Hilfsmittel.	No es una ayudita suelta.
