Twee van de drie bellers krijgen een bezettoon. Niemand weet hoeveel er dat waren.	Deux appelants sur trois tombent sur une tonalité occupée. Personne ne sait combien ils étaient.	Two out of three callers get an engaged tone. Nobody knows how many there were.	Zwei von drei Anrufern bekommen ein Besetztzeichen. Niemand weiß, wie viele das waren.	Dos de cada tres llamadas dan comunicando. Nadie sabe cuántas fueron.
Twee weken chaos in plaats van vier weken gespreid werk.	Deux semaines de chaos au lieu de quatre semaines de travail étalé.	Two weeks of chaos instead of four weeks of spread-out work.	Zwei Wochen Chaos statt vier Wochen verteilter Arbeit.	Dos semanas de caos en vez de cuatro semanas de trabajo repartido.
Twee weken meten, vier weken draaien.	Deux semaines de mesure, quatre semaines de fonctionnement.	Two weeks of measuring, four weeks of running.	Zwei Wochen messen, vier Wochen laufen.	Dos semanas midiendo, cuatro semanas funcionando.
Twee weken meten. Dan weet je hoe groot het is.	Mesurez deux semaines. Vous saurez alors l'ampleur.	Measure for two weeks. Then you know how big it is.	Zwei Wochen messen. Dann wissen Sie, wie groß es ist.	Mide dos semanas. Entonces sabrás cuánto es.
Twee weken per jaar kun je niet aanslepen.	Deux semaines par an, vous ne suivez plus.	Two weeks a year you cannot keep up.	Zwei Wochen im Jahr kommen Sie nicht hinterher.	Dos semanas al año no das abasto.
Twijfelgevallen gaan naar je balie	Les cas douteux passent à votre comptoir	Doubtful cases go to your front desk	Zweifelsfälle gehen an Ihren Empfang	Los casos dudosos pasan a tu mostrador
Twintig minuten op je eigen cijfers. We laten zien wat deze werkstroom bij jou zou doen, of waarom je beter met een andere kunt beginnen.	Vingt minutes sur vos propres chiffres. Nous montrons ce que ce flux ferait chez vous, ou pourquoi vous feriez mieux de commencer par un autre.	Twenty minutes on your own numbers. We show what this workflow would do at your place, or why you are better off starting with another one.	Zwanzig Minuten mit Ihren eigenen Zahlen. Wir zeigen, was dieser Ablauf bei Ihnen tun würde, oder warum Sie besser mit einem anderen anfangen.	Veinte minutos con tus propias cifras. Enseñamos qué haría este flujo en tu taller, o por qué conviene más empezar por otro.
Twintig minuten, je eigen cijfers op tafel. Daarna weet je of het past, en wij weten of we je kunnen helpen.	Vingt minutes, vos propres chiffres sur la table. Ensuite vous saurez si cela convient, et nous saurons si nous pouvons vous aider.	Twenty minutes, your own numbers on the table. After that you know whether it fits, and we know whether we can help you.	Zwanzig Minuten, Ihre eigenen Zahlen auf dem Tisch. Danach wissen Sie, ob es passt, und wir wissen, ob wir Ihnen helfen können.	Veinte minutos, tus propias cifras sobre la mesa. Después sabrás si encaja, y nosotros sabremos si podemos ayudarte.
Twintig minuten, op je eigen cijfers.	Vingt minutes, sur vos propres chiffres.	Twenty minutes, on your own numbers.	Zwanzig Minuten, mit Ihren eigenen Zahlen.	Veinte minutos, con tus propias cifras.
Uit wat jij hebt vastgelegd of uit de bron die je koppelt. Is het er niet, dan wordt de levertijd opgezocht in plaats van geraden.	À partir de ce que vous avez enregistré ou de la source que vous connectez. Si elle n'est pas là, le délai est vérifié plutôt que deviné.	From what you have recorded or from the source you connect. If it is not there, the delivery time is looked up instead of guessed.	Aus dem, was Sie festgelegt haben, oder aus der Quelle, die Sie anbinden. Ist es nicht da, wird die Lieferzeit nachgeschlagen statt geraten.	A partir de lo que tú hayas definido o de la fuente que conectes. Si no está, el plazo se consulta en vez de adivinarse.
Uitgaand	Sortant	Outbound	Ausgehend	Saliente
