# nederlands	frans	engels	duits	spaans
"En hoe kom ik dan op mijn werk?"	« Et comment j'irai au travail ? »	"And how do I get to work then?"	„Und wie komme ich dann zur Arbeit?"	«¿Y cómo voy al trabajo entonces?»
% van opvangt	 %	% of this	% auffängt	%
's Avonds en op zaterdag telt ook mee	Le soir et le samedi comptent aussi	Evenings and Saturdays count too	Abende und Samstage zählen mit	Las tardes y los sábados también cuentan
, inclusief wat we wel en niet bewaren.	, y ce que nous conservons ou non.	, including what we do and do not store.	, einschließlich dessen, was wir speichern und was nicht.	, incluido lo que guardamos y lo que no.
01 · APK-herinnering	01 · Rappel contrôle technique	01 · MOT reminder	01 · HU-Erinnerung	01 · Recordatorio de ITV
02 · Werkplaats inplannen	02 · Planification atelier	02 · Workshop scheduling	02 · Werkstattplanung	02 · Planificación del taller
03 · Gemiste gesprekken	03 · Appels manqués	03 · Missed calls	03 · Verpasste Anrufe	03 · Llamadas perdidas
04 · Offerte-opvolging	04 · Relance de devis	04 · Quote follow-up	04 · Angebotsnachfassung	04 · Seguimiento de presupuestos
05 · No-shows	05 · Rendez-vous manqués	05 · No-shows	05 · No-Shows	05 · Citas no presentadas
06 · Onderdelen navragen	06 · Vérification des pièces	06 · Parts enquiries	06 · Teileabfrage	06 · Consulta de recambios
07 · Leenauto	07 · Véhicule de courtoisie	07 · Courtesy car	07 · Ersatzwagen	07 · Coche de cortesía
08 · Schade-intake	08 · Déclaration de sinistre	08 · Damage intake	08 · Schadenaufnahme	08 · Registro de daños
09 · Bandenwissel	09 · Changement de pneus	09 · Tyre change	09 · Reifenwechsel	09 · Cambio de neumáticos
10 · Onderhoudsbeurt	10 · Entretien	10 · Service	10 · Inspektion	10 · Revisión
14 november	14 novembre	14 November	14. November	14 de noviembre
4,33 weken	4,33 semaines	4.33 weeks	4,33 Wochen	4,33 semanas
82-ABC-3 · foto’s verstuurd	82-ABC-3 · photos envoyées	82-ABC-3 · photos sent	82-ABC-3 · Fotos gesendet	82-ABC-3 · fotos enviadas
APK ingepland	Contrôle technique planifié	MOT booked	HU eingeplant	ITV programada
