Bevestigen en herinneren	Confirmer et rappeler	Confirm and remind	Bestätigen und erinnern	Confirmar y recordar
Bevestigen, herinneren en het vrijgekomen tijdslot meteen aanbieden aan iemand die wacht.	Confirmer, rappeler et proposer aussitôt le créneau libéré à quelqu'un qui attend.	Confirm, remind, and immediately offer the freed-up slot to someone who is waiting.	Bestätigen, erinnern und das frei gewordene Zeitfenster sofort jemandem anbieten, der wartet.	Confirmar, recordar y ofrecer enseguida la franja liberada a alguien que espera.
Bevestigen, herinneren, verzetten en opnieuw aanbieden.	Confirmer, rappeler, déplacer et reproposer.	Confirm, remind, reschedule and re-offer.	Bestätigen, erinnern, verschieben und neu anbieten.	Confirmar, recordar, cambiar y volver a ofrecer.
Bevestigen, herinneren, verzetten waar het moet, en het vrijgekomen tijdslot meteen aanbieden aan iemand die wacht.	Confirmer, rappeler, déplacer là où il le faut, et proposer aussitôt le créneau libéré à quelqu'un qui attend.	Confirm, remind, reschedule where needed, and immediately offer the freed-up slot to someone who is waiting.	Bestätigen, erinnern, verschieben wo nötig, und das frei gewordene Zeitfenster sofort jemandem anbieten, der wartet.	Confirmar, recordar, cambiar cuando haga falta y ofrecer enseguida la franja liberada a alguien que espera.
Bevestiging en herinnering	Confirmation et rappel	Confirmation and reminder	Bestätigung und Erinnerung	Confirmación y recordatorio
Bevestigt en herinnert, want in een drukke week is een gat extra duur.	Confirme et rappelle, car en semaine chargée un trou coûte encore plus cher.	Confirms and reminds, because in a busy week a gap is extra expensive.	Bestätigt und erinnert, denn in einer vollen Woche ist eine Lücke besonders teuer.	Confirma y recuerda, porque en una semana cargada un hueco sale aún más caro.
Bevestigt en herinnert, zodat de geboekte keuring ook komt opdagen.	Confirme et rappelle, pour que le contrôle réservé se présente vraiment.	Confirms and reminds, so the booked MOT actually turns up.	Bestätigt und erinnert, damit die gebuchte HU auch erscheint.	Confirma y recuerda, para que la ITV reservada aparezca de verdad.
Bezwaren komen boven water	Les objections remontent à la surface	Objections come to the surface	Einwände kommen ans Licht	Las objeciones salen a la luz
Bij 168.000 km zit je op het interval waarop hij vervangen hoort te worden. Doorrijden kan, maar als de riem breekt is de motorschade een veelvoud van dit bedrag. We plannen het liever in dan dat je het risico loopt.	À 168 000 km, vous êtes à l'intervalle où elle doit être remplacée. Continuer à rouler est possible, mais si la courroie casse, les dégâts moteur représentent plusieurs fois ce montant. Nous préférons le planifier plutôt que de vous laisser prendre ce risque.	At 168,000 km you are at the interval where it should be replaced. You can keep driving, but if the belt snaps the engine damage is many times this amount. We would rather book it in than have you run that risk.	Bei 168.000 km sind Sie an dem Intervall, an dem er gewechselt werden sollte. Weiterfahren geht, aber wenn der Riemen reißt, ist der Motorschaden ein Vielfaches dieses Betrags. Wir planen es lieber ein, als dass Sie das Risiko eingehen.	A 168.000 km estás en el intervalo en el que toca cambiarla. Puedes seguir conduciendo, pero si la correa se rompe el daño en el motor es varias veces este importe. Preferimos programarlo antes que dejarte correr ese riesgo.
Bij de vorige wissel stond er 3,5 mm op de voorbanden. Die halen waarschijnlijk nog één zomer, maar niet twee. We meten ze na en dan hoor je het.	Au dernier changement, les pneus avant étaient à 3,5 mm. Ils tiendront sans doute encore un été, mais pas deux. Nous les remesurons et nous vous tenons au courant.	At the last change there was 3.5 mm on the front tyres. They will probably last one more summer, but not two. We will measure them again and let you know.	Beim letzten Wechsel standen 3,5 mm auf den Vorderreifen. Die halten wahrscheinlich noch einen Sommer, aber keine zwei. Wir messen nach und sagen Ihnen Bescheid.	En el último cambio los neumáticos delanteros estaban a 3,5 mm. Probablemente aguanten un verano más, pero no dos. Los volvemos a medir y te lo decimos.
Bij deze stand hoort een grote beurt, reken op ongeveer drie uur. En je APK loopt af op 2 februari, die kunnen we in dezelfde afspraak meenemen. Dan ben je in één keer klaar.	À ce kilométrage, c'est un grand entretien, comptez environ trois heures. Et votre contrôle technique expire le 2 février, nous pouvons le prendre dans le même rendez-vous. Vous serez tranquille en une fois.	At this mileage it is a major service, allow around three hours. And your MOT expires on 2 February, which we can take in the same appointment. Then you are done in one go.	Bei diesem Stand gehört eine große Inspektion dazu, rechnen Sie mit etwa drei Stunden. Und Ihre HU läuft am 2. Februar ab, die können wir im selben Termin mitnehmen. Dann sind Sie in einem Rutsch fertig.	Con este kilometraje toca una revisión grande, cuenta unas tres horas. Y tu ITV caduca el 2 de febrero, podemos incluirla en la misma cita. Así lo resuelves todo de una vez.
