# nederlands	frans	engels	duits	spaans
Het controleert geen rijbewijs. Dat gebeurt bij het ophalen van de sleutel.	Il ne contrôle pas le permis de conduire. Cela se fait à la remise des clés.	It does not check a driving licence. That happens when the key is handed over.	Es prüft keinen Führerschein. Das passiert bei der Schlüsselübergabe.	No comprueba el carné de conducir. Eso ocurre al recoger la llave.
Het doet geen uitspraak over goedkeuring of kredietwaardigheid.	Il ne se prononce pas sur l'accord ou la solvabilité.	It makes no statement about approval or creditworthiness.	Es äußert sich nicht zu Zusage oder Kreditwürdigkeit.	No se pronuncia sobre la aprobación ni la solvencia.
Het doet geen uitspraak over wat jouw marge toelaat.	Il ne se prononce pas sur ce que votre marge permet.	It makes no statement about what your margin allows.	Es äußert sich nicht dazu, was Ihre Marge zulässt.	No se pronuncia sobre lo que permite tu margen.
Het draait bij een autobedrijf.	Cela tourne dans une concession.	It is running at a dealership.	Es läuft bei einem Autohaus.	Está funcionando en un concesionario.
Het eerste gesprek is gevoerd, de wagen is bekend. Wat alsnog een afspraak wordt, kost bijna niets extra.	La première conversation a eu lieu, le véhicule est connu. Ce qui devient malgré tout un rendez-vous ne coûte presque rien de plus.	The first conversation has happened, the vehicle is known. Whatever still becomes an appointment costs almost nothing extra.	Das erste Gespräch ist geführt, das Fahrzeug ist bekannt. Was daraus doch noch ein Termin wird, kostet kaum etwas zusätzlich.	La primera conversación ya se ha tenido, el vehículo se conoce. Lo que aun así acaba en cita no cuesta casi nada más.
Het gebruikt WhatsApp niet voor reclame aan je hele bestand.	Il n'utilise pas WhatsApp pour faire de la publicité à tout votre fichier.	It does not use WhatsApp to advertise to your whole database.	Es nutzt WhatsApp nicht für Werbung an Ihren gesamten Bestand.	No usa WhatsApp para hacer publicidad a toda tu base de datos.
Het geeft geen korting weg om iemand over de streep te trekken.	Il ne brade aucune remise pour faire basculer quelqu'un.	It does not give away a discount to push someone over the line.	Es verschenkt keinen Rabatt, um jemanden zu überzeugen.	No regala descuentos para empujar a alguien a decidirse.
Het geeft geen technisch advies over betrouwbaarheid of verbruik dat niet in je gegevens staat.	Il ne donne aucun conseil technique sur la fiabilité ou la consommation qui ne figure pas dans vos données.	It gives no technical advice on reliability or consumption that is not in your data.	Es gibt keinen technischen Rat zu Zuverlässigkeit oder Verbrauch, der nicht in Ihren Daten steht.	No da consejos técnicos sobre fiabilidad o consumo que no estén en tus datos.
Het gesprek begint met de wagen	La conversation commence par le véhicule	The conversation starts with the vehicle	Das Gespräch beginnt beim Fahrzeug	La conversación empieza por el vehículo
Het gesprek blijft van het bedrijf	La conversation reste celle de l'entreprise	The conversation stays the company's	Das Gespräch bleibt beim Betrieb	La conversación sigue siendo de la empresa
Het gesprek niet.	La conversation, non.	The conversation does not.	Das Gespräch nicht.	La conversación no.
Het gesprek over geld begint voorbereid.	La conversation sur l'argent commence préparée.	The money conversation starts prepared.	Das Gespräch übers Geld beginnt vorbereitet.	La conversación sobre dinero empieza preparada.
Het gesprek stopt niet	La conversation ne s'arrête pas	The conversation does not stop	Das Gespräch hört nicht auf	La conversación no se para
Het gesprek stopt niet als de koper stopt met typen	La conversation ne s'arrête pas quand l'acheteur cesse d'écrire	The conversation does not stop when the buyer stops typing	Das Gespräch hört nicht auf, wenn der Käufer aufhört zu tippen	La conversación no se para cuando el comprador deja de escribir
Het gesprek wordt een dossier	La conversation devient un dossier	The conversation becomes a file	Das Gespräch wird zur Akte	La conversación se convierte en expediente
Het gevolg is dat een koper met een duidelijk koopsignaal met minder informatie vertrekt dan waarmee hij binnenkwam.	Résultat : un acheteur avec un signal d'achat clair repart avec moins d'informations qu'à son arrivée.	The result is that a buyer with a clear buying signal leaves with less information than they came in with.	Die Folge ist, dass ein Käufer mit deutlichem Kaufsignal mit weniger Informationen geht, als er mitgebracht hat.	El resultado es que un comprador con una señal de compra clara se va con menos información de la que traía.
Het kanaal met de beste aanvragen.	Le canal aux meilleures demandes.	The channel with the best enquiries.	Der Kanal mit den besten Anfragen.	El canal con las mejores solicitudes.
Het kanaal waarop kopers het snelst antwoorden, op één bedrijfsnummer in plaats van op de telefoon van één verkoper.	Le canal sur lequel les acheteurs répondent le plus vite, sur un seul numéro d'entreprise au lieu du portable d'un vendeur.	The channel buyers answer fastest on, on one business number instead of one salesperson's phone.	Der Kanal, auf dem Käufer am schnellsten antworten, auf einer Betriebsnummer statt auf dem Handy eines Verkäufers.	El canal en el que los compradores responden más rápido, en un solo número de empresa en lugar del móvil de un vendedor.
Het kanaal waarop ze wel antwoorden.	Le canal sur lequel ils répondent vraiment.	The channel they actually answer on.	Der Kanal, auf dem sie tatsächlich antworten.	El canal en el que sí responden.
Het kent de auto's	Il connaît les véhicules	It knows the cars	Es kennt die Autos	Conoce los coches
Het kent het verschil tussen een uitvoering en een uitrusting.	Il connaît la différence entre une finition et un équipement.	It knows the difference between a trim level and an option pack.	Es kennt den Unterschied zwischen Ausstattungslinie und Ausstattung.	Conoce la diferencia entre un acabado y un equipamiento.
Het laat geen proefrit toe buiten de regels die jij hebt vastgelegd.	Il n'autorise aucun essai en dehors des règles que vous avez fixées.	It allows no test drive outside the rules you have set.	Es lässt keine Probefahrt außerhalb der von Ihnen gesetzten Regeln zu.	No permite ninguna prueba fuera de las normas que has fijado.
