# nederlands	frans	engels	duits	spaans
Hoe het werkt	Comment ça marche	How it works	So funktioniert es	Cómo funciona
Hoe snel kan dit live staan?	En combien de temps cela peut-il être en ligne ?	How fast can this be live?	Wie schnell kann das live sein?	¿En cuánto tiempo puede estar en marcha?
Hoe snel komt er antwoord op een nieuwe aanvraag?	En combien de temps une nouvelle demande reçoit-elle une réponse ?	How fast does a new enquiry get an answer?	Wie schnell kommt eine Antwort auf eine neue Anfrage?	¿En cuánto tiempo recibe respuesta una nueva solicitud?
Hoe vaak wordt de voorraad ververst?	À quelle fréquence le stock est-il actualisé ?	How often is the stock refreshed?	Wie oft wird der Bestand aktualisiert?	¿Con qué frecuencia se actualiza el stock?
Hoe weet ik dat er geen verkeerde dingen gezegd worden?	Comment savoir qu'aucune bêtise n'est dite ?	How do I know nothing wrong gets said?	Woher weiß ich, dass nichts Falsches gesagt wird?	¿Cómo sé que no se dicen cosas equivocadas?
Hoeveel aanvragen om financiering vragen, is bruikbaar om te weten welke wagens je hoe presenteert.	Savoir combien de demandes portent sur un financement est utile pour décider comment présenter quels véhicules.	Knowing how many enquiries ask about financing is useful for deciding how you present which vehicles.	Wie viele Anfragen nach Finanzierung fragen, ist nützlich, um zu wissen, welche Fahrzeuge Sie wie präsentieren.	Saber cuántas solicitudes preguntan por financiación es útil para decidir cómo presentas qué vehículos.
Hoeveel aanvragen werden een afspraak, vóór en ná?	Combien de demandes sont devenues un rendez-vous, avant et après ?	How many enquiries became an appointment, before and after?	Wie viele Anfragen wurden ein Termin, vorher und nachher?	¿Cuántas solicitudes acabaron en cita, antes y después?
Hoeveel daarvan zou een verkoop worden? (%)	Quelle part deviendrait une vente ? (%)	How many of those would become a sale? (%)	Wie viele davon würden ein Verkauf? (%)	¿Cuántas de ellas acabarían en venta? (%)
Hoeveel gesprekken, hoeveel afspraken, hoeveel overgenomen.	Combien de conversations, combien de rendez-vous, combien reprises en main.	How many conversations, how many appointments, how many taken over.	Wie viele Gespräche, wie viele Termine, wie viele übernommen.	Cuántas conversaciones, cuántas citas, cuántas asumidas.
Hoeveel kilometer staat erop, en is de onderhoudshistoriek compleet?	Quel est le kilométrage, et l'historique d'entretien est-il complet ?	What's the mileage, and is the service history complete?	Wie viele Kilometer hat er, und ist die Wartungshistorie vollständig?	¿Cuántos kilómetros tiene, y el historial de mantenimiento está completo?
Hoeveel marge lekt er weg	Combien de marge se perd	How much margin leaks away	Wie viel Marge versickert	Cuánto margen se escapa
Hoeveel van je aanvragen een afspraak werd, vergeleken met de nulmeting. Valt het tegen, dan schrijven we dat op. Dat is de afspraak.	Quelle part de vos demandes est devenue un rendez-vous, par rapport à la mesure de départ. Si c'est décevant, nous l'écrivons. C'est l'accord.	How many of your enquiries became an appointment, compared with the baseline. If it disappoints, we write that down. That is the agreement.	Wie viele Ihrer Anfragen ein Termin wurden, verglichen mit der Nullmessung. Fällt es enttäuschend aus, schreiben wir das auf. Das ist die Abmachung.	Cuántas de tus solicitudes acabaron en cita, comparado con la medición inicial. Si decepciona, lo escribimos. Ese es el acuerdo.
Hoi, ik zag de Golf GTI staan. Nog beschikbaar?	Bonjour, j'ai vu la Golf GTI. Toujours disponible ?	Hi, I saw the Golf GTI. Still available?	Hallo, ich habe den Golf GTI gesehen. Noch verfügbar?	Hola, he visto el Golf GTI. ¿Sigue disponible?
Iedereen die bij jou wagens verkoopt, de eigenaar meegerekend als hij meedraait.	Toute personne qui vend des véhicules chez vous, le patron compris s'il participe.	Everyone who sells vehicles at your business, the owner included if they pitch in.	Jeder, der bei Ihnen Fahrzeuge verkauft, den Inhaber eingerechnet, wenn er mitmacht.	Todos los que venden vehículos en tu empresa, incluido el dueño si participa.
Iemand vroeg om 23:40 via het formulier of de Passat er nog staat en wat hij kost. De mail staat onder zes andere.	Quelqu'un a demandé à 23:40 via le formulaire si la Passat est toujours là et combien elle coûte. Le courriel est sous six autres.	At 23:40 someone asked through the form whether the Passat is still there and what it costs. The email sits under six others.	Um 23:40 hat jemand über das Formular gefragt, ob der Passat noch da ist und was er kostet. Die Mail liegt unter sechs anderen.	A las 23:40 alguien preguntó por el formulario si el Passat sigue ahí y cuánto cuesta. El correo está debajo de otros seis.
Iemand ziet je advertentie 's avonds op de bank en vraagt of de auto er nog staat. Je verkoper leest het morgenochtend. Tegen die tijd heeft hij het bij drie anderen ook gevraagd.	Quelqu'un voit votre annonce le soir depuis son canapé et demande si la voiture est toujours là. Votre vendeur le lit demain matin. Entre-temps, il a posé la question à trois autres.	Someone sees your advert on the sofa in the evening and asks whether the car is still there. Your salesperson reads it tomorrow morning. By then they have asked three others too.	Jemand sieht Ihre Anzeige abends auf dem Sofa und fragt, ob das Auto noch da ist. Ihr Verkäufer liest es morgen früh. Bis dahin hat er auch drei andere gefragt.	Alguien ve tu anuncio por la tarde en el sofá y pregunta si el coche sigue ahí. Tu vendedor lo lee mañana por la mañana. Para entonces ya lo ha preguntado a otros tres.
Iemand ziet je advertentie ’s avonds, vraagt of de wagen er nog staat en stuurt dezelfde vraag naar drie andere bedrijven. Morgenochtend om negen uur is hij al ergens langs geweest, of heeft hij al een afspraak staan.	Quelqu'un voit votre annonce le soir, demande si le véhicule est toujours là et envoie la même question à trois autres entreprises. Demain matin à neuf heures, il est déjà passé quelque part, ou il a déjà un rendez-vous.	Someone sees your advert in the evening, asks whether the vehicle is still there and sends the same question to three other businesses. By nine tomorrow morning they have already been somewhere, or already have an appointment.	Jemand sieht Ihre Anzeige abends, fragt, ob das Fahrzeug noch da ist, und schickt dieselbe Frage an drei andere Betriebe. Morgen früh um neun war er schon irgendwo, oder er hat schon einen Termin.	Alguien ve tu anuncio por la tarde, pregunta si el vehículo sigue ahí y manda la misma pregunta a otras tres empresas. Mañana a las nueve ya ha pasado por algún sitio, o ya tiene una cita.
Ik zoek een automaat rond de 30.000 euro, minder dan 100.000 km.	Je cherche une boîte automatique autour de 30 000 euros, moins de 100 000 km.	I'm looking for an automatic around €30,000, under 100,000 km.	Ich suche eine Automatik um die 30.000 Euro, weniger als 100.000 km.	Busco un automático de unos 30.000 euros, menos de 100.000 km.
In de algemene mailbox van een autobedrijf komt alles binnen: aanvragen, facturen, meldingen van advertentiesites en reclame. Een aanvraag die daar om kwart over acht ’s avonds in valt, ligt de volgende ochtend onder twintig andere berichten.	Dans la boîte générale d'une concession, tout arrive : demandes, factures, notifications de sites d'annonces et publicité. Une demande qui y tombe à vingt heures quinze se retrouve le lendemain matin sous vingt autres messages.	Everything arrives in a dealership's general mailbox: enquiries, invoices, notifications from classifieds sites and advertising. An enquiry that lands there at a quarter past eight in the evening sits under twenty other messages the next morning.	In das allgemeine Postfach eines Autohauses kommt alles: Anfragen, Rechnungen, Meldungen von Anzeigenportalen und Werbung. Eine Anfrage, die dort um viertel nach acht abends eingeht, liegt am nächsten Morgen unter zwanzig anderen Nachrichten.	En el buzón general de un concesionario entra de todo: solicitudes, facturas, avisos de portales de anuncios y publicidad. Una solicitud que cae ahí a las ocho y cuarto de la tarde está a la mañana siguiente debajo de otros veinte mensajes.
