Keukenzaken: van aanvraag naar geboekte opmeting · Helvaro	Cuisinistes : de la demande au relevé de mesures planifié · Helvaro	Kitchen showrooms: from enquiry to a booked measuring appointment · Helvaro	Küchenstudios: von der Anfrage zum gebuchten Aufmaßtermin · Helvaro	Cocinas: de la consulta a la cita de medición reservada · Helvaro
Helvaro kwalificeert keukenaanvragen op budget, timing en type project, plant een opmeting of showroombezoek in en volgt de offerte nadien op.	Helvaro qualifie les demandes cuisine selon le budget, le calendrier et le type de projet, planifie un relevé de mesures ou une visite en showroom, puis relance le devis ensuite.	Helvaro qualifies kitchen enquiries on budget, timing and project type, books a measuring appointment or showroom visit, and follows up on the quote afterwards.	Helvaro qualifiziert Küchenanfragen nach Budget, Zeitrahmen und Projektart, plant einen Aufmaßtermin oder Showroom-Besuch und verfolgt das Angebot anschließend nach.	Helvaro cualifica las consultas de cocina según presupuesto, calendario y tipo de proyecto, agenda una cita de medición o visita al showroom y hace seguimiento del presupuesto después.
Andere sectoren · Keukens	Autres secteurs · Cuisines	Other sectors · Kitchens	Andere Branchen · Küchen	Otros sectores · Cocinas
Een nieuwe keuken wacht niet tot je showroom leegloopt.	Une nouvelle cuisine n'attend pas que votre showroom se vide.	A new kitchen does not wait for your showroom to empty out.	Eine neue Küche wartet nicht, bis Ihr Showroom sich leert.	Una cocina nueva no espera a que tu showroom se vacíe.
Een aanvraag voor een nieuwe keuken komt 's avonds binnen, of net wanneer je showroom vol staat met klanten die er al zijn. Helvaro vraagt door zodat elk gesprek een opmeting wordt in de agenda, niet een berichtje dat de volgende ochtend niemand meer terugvindt.	Une demande de nouvelle cuisine arrive le soir, ou justement quand votre showroom est plein de clients déjà présents. Helvaro pose les bonnes questions pour que chaque conversation devienne un relevé de mesures dans l'agenda, pas un message que plus personne ne retrouve le lendemain matin.	A request for a new kitchen arrives in the evening, or right when your showroom is full of customers who are already there. Helvaro asks the right questions so every conversation becomes a measuring appointment in the calendar, not a message nobody finds again the next morning.	Eine Anfrage für eine neue Küche kommt abends herein, oder genau dann, wenn Ihr Showroom voller Kunden ist, die schon da sind. Helvaro fragt nach, damit aus jedem Gespräch ein Aufmaßtermin im Kalender wird, statt einer Nachricht, die am nächsten Morgen niemand mehr findet.	Una consulta sobre una cocina nueva llega por la noche, o justo cuando tu showroom está lleno de clientes que ya están allí. Helvaro pregunta lo necesario para que cada conversación se convierta en una cita de medición en la agenda, no en un mensaje que nadie vuelve a encontrar al día siguiente.
Twee momenten waarop je het misloopt	Deux moments où cela vous échappe	Two moments where it slips away	Zwei Momente, in denen es Ihnen entgleitet	Dos momentos en los que se te escapa
Het eerste is 's avonds en in het weekend: iemand bladert thuis door keukens en stuurt een bericht om half negen, terwijl de showroom dicht is. Het tweede is midden op de dag: de zaak staat vol met klanten die al voor de toonbank staan, en een nieuw bericht wacht tot iedereen weg is. Tegen dan is de interesse van 's ochtends vaak al ergens anders naartoe.	Le premier est le soir et le week-end : quelqu'un feuillette des cuisines chez lui et envoie un message vers vingt heures trente, alors que le showroom est fermé. Le second est en pleine journée : la boutique est pleine de clients déjà au comptoir, et un nouveau message attend que tout le monde soit parti. À ce moment-là, l'intérêt du matin s'est souvent déjà tourné ailleurs.	The first is in the evening and at weekends: someone browses kitchens at home and sends a message around half past eight, while the showroom is closed. The second is in the middle of the day: the shop is full of customers already at the counter, and a new message waits until everyone has left. By then the interest from that morning has often already gone elsewhere.	Der erste ist abends und am Wochenende: Jemand blättert zu Hause durch Küchen und schickt um halb neun eine Nachricht, während der Showroom geschlossen ist. Der zweite ist mitten am Tag: Der Laden ist voller Kunden, die schon an der Theke stehen, und eine neue Nachricht wartet, bis alle weg sind. Bis dahin hat sich das Interesse vom Morgen oft schon woanders hin gerichtet.	El primero es por la noche y el fin de semana: alguien hojea cocinas en casa y envía un mensaje sobre las ocho y media, mientras el showroom está cerrado. El segundo es en pleno día: la tienda está llena de clientes que ya están en el mostrador, y un mensaje nuevo espera hasta que todos se hayan ido. Para entonces, el interés de la mañana a menudo ya se ha ido a otra parte.
Doorvragen voor er iets wordt ingepland	Poser les bonnes questions avant de planifier quoi que ce soit	Asking the right questions before anything is booked	Nachfragen, bevor etwas eingeplant wird	Preguntar antes de agendar nada
Budgetrange, timing, nieuwbouw of renovatie, en of er al een opmeting mogelijk is. Wie daar geen antwoord op geeft, was ook geen showroombezoek geworden.	Fourchette de budget, calendrier, construction neuve ou rénovation, et si un relevé de mesures est déjà possible. Qui ne répond pas à cela ne serait de toute façon pas devenu une visite en showroom.	Budget range, timing, new build or renovation, and whether a measuring appointment is already possible. Whoever does not answer that would not have become a showroom visit anyway.	Budgetrahmen, Zeitrahmen, Neubau oder Renovierung, und ob bereits ein Aufmaß möglich ist. Wer darauf keine Antwort gibt, wäre ohnehin kein Showroom-Besuch geworden.	Rango de presupuesto, calendario, obra nueva o reforma, y si ya es posible una cita de medición. Quien no responde a eso tampoco se habría convertido en una visita al showroom.
Past de aanvraag bij je stijl, je regio en je planning. Wat niet past, krijgt een net antwoord in plaats van stilte.	La demande correspond-elle à votre style, votre région et votre planning. Ce qui ne correspond pas reçoit une réponse correcte plutôt que le silence.	Does the enquiry fit your style, your region and your planning. What does not fit gets a proper answer instead of silence.	Passt die Anfrage zu Ihrem Stil, Ihrer Region und Ihrer Planung. Was nicht passt, bekommt eine ordentliche Antwort statt Schweigen.	Encaja la consulta con tu estilo, tu región y tu planificación. Lo que no encaja recibe una respuesta correcta en lugar de silencio.
Een opmeting of showroombezoek inplannen	Planifier un relevé de mesures ou une visite en showroom	Booking a measuring appointment or showroom visit	Einen Aufmaßtermin oder Showroom-Besuch einplanen	Agendar una cita de medición o visita al showroom
