# nederlands	frans	engels	duits	spaans
Voor autobedrijven	Pour les concessions	For dealerships	Für Autohäuser	Para concesionarios
Voor het eerst een getal op iets dat nu nergens geteld wordt: hoeveel aanvragen, via welk kanaal, op welk uur.	Pour la première fois un chiffre sur quelque chose qui n'est compté nulle part : combien de demandes, par quel canal, à quelle heure.	For the first time a number on something counted nowhere today: how many enquiries, through which channel, at what hour.	Zum ersten Mal eine Zahl für etwas, das heute nirgends gezählt wird: wie viele Anfragen, über welchen Kanal, zu welcher Stunde.	Por primera vez una cifra sobre algo que hoy no se cuenta en ninguna parte: cuántas solicitudes, por qué canal, a qué hora.
Voor onafhankelijke autobedrijven en occasiondealers met ongeveer veertig tot driehonderd wagens op voorraad en twee tot acht verkopers. Werkt je bedrijf met een eigen contactcentrum en vaste scripts, dan passen wij er waarschijnlijk niet bij.	Pour les concessions indépendantes et les marchands d'occasion disposant d'environ quarante à trois cents véhicules en stock et de deux à huit vendeurs. Si votre entreprise fonctionne avec son propre centre de contact et des scripts imposés, nous ne vous conviendrons probablement pas.	For independent dealerships and used-car traders with roughly forty to three hundred vehicles in stock and two to eight salespeople. If your business runs its own contact centre with fixed scripts, we probably do not fit you.	Für freie Autohäuser und Gebrauchtwagenhändler mit etwa vierzig bis dreihundert Fahrzeugen auf Lager und zwei bis acht Verkäufern. Arbeitet Ihr Betrieb mit einem eigenen Kontaktcenter und festen Skripten, passen wir wahrscheinlich nicht dazu.	Para concesionarios independientes y vendedores de ocasión con unos cuarenta a trescientos vehículos en stock y de dos a ocho vendedores. Si tu empresa trabaja con su propio centro de contacto y guiones fijos, probablemente no encajemos.
Voorbeeldgesprek	Exemple de conversation	Example conversation	Beispielgespräch	Conversación de ejemplo
Voorbeeldweergave. De velden vullen zich met wat de koper zelf zegt. Zegt hij niets over budget, dan blijft dat veld leeg.	Vue d'exemple. Les champs se remplissent de ce que l'acheteur dit lui-même. S'il ne parle pas de budget, ce champ reste vide.	Example view. The fields fill with what the buyer says themselves. If they say nothing about budget, that field stays empty.	Beispielansicht. Die Felder füllen sich mit dem, was der Käufer selbst sagt. Sagt er nichts zum Budget, bleibt das Feld leer.	Vista de ejemplo. Los campos se rellenan con lo que dice el propio comprador. Si no dice nada del presupuesto, ese campo se queda vacío.
Voorraad die buiten het eerste filter valt, komt toch in beeld wanneer hij bij de eisen past.	Le stock qui échappe au premier filtre apparaît malgré tout s'il correspond aux critères.	Stock that falls outside the first filter still comes into view when it fits the requirements.	Bestand, der aus dem ersten Filter fällt, kommt trotzdem ins Bild, wenn er zu den Anforderungen passt.	El stock que queda fuera del primer filtro aparece igualmente si encaja con los requisitos.
Voorraad via bestand	Stock via fichier	Stock through a file	Bestand über Datei	Stock mediante archivo
Voorraad via koppeling	Stock via intégration	Stock through an integration	Bestand über Anbindung	Stock mediante integración
Voorstellen, vastzetten, bevestigen en herinneren.	Proposer, fixer, confirmer et rappeler.	Proposing, pinning down, confirming and reminding.	Vorschlagen, festmachen, bestätigen und erinnern.	Proponer, fijar, confirmar y recordar.
Vraagt naar een specifieke wagen.	Se renseigne sur un véhicule précis.	Asks about a specific vehicle.	Fragt nach einem bestimmten Fahrzeug.	Pregunta por un vehículo concreto.
Vraagt vooraf naar de wagen die hij zelf meebrengt.	Demande à l'avance le véhicule qu'il amène lui-même.	Asks in advance about the vehicle they bring themselves.	Fragt vorab nach dem Fahrzeug, das er selbst mitbringt.	Pregunta de antemano por el vehículo que trae él mismo.
Vragen beantwoorden	Répondre aux questions	Answering questions	Fragen beantworten	Responder preguntas
Waar het binnenkomt	Là où cela arrive	Where it comes in	Wo es hereinkommt	Por dónde entra
Waar het gebeurt, en wat er daarna nog komt.	Là où cela se passe, et ce qui vient après.	Where it happens, and what comes after that.	Wo es passiert, und was danach noch kommt.	Dónde pasa, y qué viene después.
Waar komen de gegevens over een wagen vandaan?	D'où viennent les données d'un véhicule ?	Where does the data about a vehicle come from?	Woher kommen die Daten über ein Fahrzeug?	¿De dónde salen los datos de un vehículo?
Waar staat jouw voorraad?	Où se trouve votre stock ?	Where does your stock sit?	Wo liegt Ihr Bestand?	¿Dónde está tu stock?
Waarom deze drie bij zijn eisen passen, en waar ze van elkaar verschillen. Dat is het stuk dat een filter niet doet.	Pourquoi ces trois-là correspondent à ses critères, et en quoi ils diffèrent. C'est la partie qu'un filtre ne fait pas.	Why these three fit their requirements, and where they differ. That is the part a filter does not do.	Warum diese drei zu seinen Anforderungen passen und worin sie sich unterscheiden. Das ist der Teil, den ein Filter nicht macht.	Por qué estos tres encajan con sus requisitos, y en qué se diferencian. Esa es la parte que un filtro no hace.
Wagens die niet in het eerste filter passen, worden nooit bekeken.	Les véhicules qui ne passent pas le premier filtre ne sont jamais regardés.	Vehicles that do not fit the first filter never get looked at.	Fahrzeuge, die nicht in den ersten Filter passen, werden nie angesehen.	Los vehículos que no encajan en el primer filtro no se miran nunca.
Wagens uit de tweede rij	Les véhicules du second rang	Vehicles from the second row	Fahrzeuge aus der zweiten Reihe	Vehículos de la segunda fila
Warm	Chaud	Warm	Warm	Caliente
Wat als een koper met een verkoper wil praten?	Et si un acheteur veut parler à un vendeur ?	What if a buyer wants to talk to a salesperson?	Was, wenn ein Käufer mit einem Verkäufer sprechen will?	¿Y si un comprador quiere hablar con un vendedor?
Wat als een veld leeg is?	Et si un champ est vide ?	What if a field is empty?	Was, wenn ein Feld leer ist?	¿Y si un campo está vacío?
Wat als een wagen intussen verkocht is?	Et si un véhicule a entre-temps été vendu ?	What if a vehicle has been sold in the meantime?	Was, wenn ein Fahrzeug inzwischen verkauft ist?	¿Y si un vehículo se ha vendido mientras tanto?
Wat als ik over mijn maandelijkse limiet ga?	Et si je dépasse ma limite mensuelle ?	What if I go over my monthly limit?	Was, wenn ich mein Monatslimit überschreite?	¿Y si me paso de mi límite mensual?
Wat als we geen digitale agenda gebruiken?	Et si nous n'utilisons pas d'agenda numérique ?	What if we do not use a digital calendar?	Was, wenn wir keinen digitalen Kalender nutzen?	¿Y si no usamos una agenda digital?
Wat bij een dubbele boeking?	Et en cas de double réservation ?	What about a double booking?	Was bei einer Doppelbuchung?	¿Y si hay una reserva duplicada?
Wat blijft er liggen bij jouw aanvragen	Ce qui traîne parmi vos demandes	What gets left lying among your enquiries	Was bei Ihren Anfragen liegen bleibt	Qué se queda tirado entre tus solicitudes
